,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,9,0,2,2,1,2,4,0,1,36,52,-6.716470248423008,False,GOLD
1,10,3,2,0,0,0,4,1,1,0,33,35,0.9384444983898916,True,GOLD
2,4,9,0,2,0,1,0,4,2,0,19,28,-3.5697582576397053,False,GOLD
3,8,10,3,3,1,3,2,4,2,0,52,32,6.014825562682802,False,GOLD
4,8,1,1,0,1,0,3,0,1,0,41,20,11.048664336673518,True,GOLD
5,2,11,0,3,0,1,1,2,0,2,28,38,-4.8283864336264415,False,GOLD
6,11,2,3,0,2,0,2,2,0,2,42,25,5.9985319744087775,True,GOLD
7,4,10,1,2,2,0,2,4,1,1,37,43,3.60862335690738,False,GOLD
8,2,10,0,1,0,1,1,3,0,1,35,43,-1.8352597965744337,False,GOLD
9,5,8,1,1,0,2,1,4,1,1,34,50,-5.391232827529564,False,GOLD
10,10,3,2,0,0,0,0,3,2,0,29,26,-2.0588647049242397,True,GOLD
11,7,0,0,0,0,0,3,0,1,1,40,16,16.07335765734362,True,GOLD
12,10,1,2,0,1,0,1,3,0,2,50,25,11.457218809052314,True,GOLD
13,2,9,0,1,0,0,0,3,0,1,26,35,-7.45734949028337,False,GOLD
14,0,10,0,2,0,0,2,1,0,1,21,30,-0.5431257152964548,False,GOLD
