,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,8,0,1,1,0,1,3,0,2,27,43,-3.3876337248312254,False,GRANDMASTER
1,11,4,2,0,2,0,3,2,1,1,53,44,7.720669412565016,True,GRANDMASTER
2,9,4,1,0,0,1,2,2,1,1,39,27,5.400711945453047,True,GRANDMASTER
3,4,9,0,3,0,2,4,1,1,1,20,39,-12.221716426742695,False,GRANDMASTER
4,2,5,0,0,0,1,1,2,1,1,21,38,-7.088873831546088,False,GRANDMASTER
5,9,5,1,1,3,0,2,3,2,0,35,39,1.7405758020661395,True,GRANDMASTER
6,7,2,1,0,1,0,2,1,2,0,31,10,10.6718187457424,True,GRANDMASTER
7,11,3,2,0,1,0,1,3,0,2,44,29,4.550732843694611,True,GRANDMASTER
8,9,2,3,0,2,0,3,2,2,0,38,20,6.94371939467338,True,GRANDMASTER
9,2,9,0,1,0,1,0,3,0,2,11,24,-9.31486211447158,False,GRANDMASTER
10,10,4,3,0,2,0,2,3,1,1,47,45,0.6319829317852097,True,GRANDMASTER
11,0,11,0,3,0,1,0,3,0,2,13,34,-10.929007992424886,False,GRANDMASTER
12,9,4,1,0,2,0,4,1,1,1,41,24,7.59220724306477,True,GRANDMASTER
13,1,11,0,2,0,1,1,3,0,2,20,29,-6.04118321950493,False,GRANDMASTER
14,10,4,2,0,1,0,4,0,1,1,32,23,7.569945891963066,True,GRANDMASTER
15,9,1,2,0,1,0,3,1,1,0,20,8,9.979512269269591,True,GRANDMASTER
16,10,0,2,0,1,0,2,2,1,0,26,12,8.765740406890743,True,GRANDMASTER
17,4,9,0,1,0,1,0,4,1,1,22,36,-7.654732636328056,False,GRANDMASTER
18,10,2,2,0,1,0,2,1,2,0,40,18,10.667111284155723,True,GRANDMASTER
19,8,4,2,0,1,0,2,2,0,2,41,32,6.453766311096238,True,GRANDMASTER
20,3,10,0,2,0,1,0,3,2,0,24,33,-6.195611662302262,False,GRANDMASTER
21,9,3,2,0,1,0,2,1,2,0,35,15,9.658656115921133,True,GRANDMASTER
22,1,11,0,3,0,1,0,4,0,1,7,21,-8.659111562448771,False,GRANDMASTER
23,3,4,0,0,0,1,0,4,1,1,20,31,-4.146271877807855,False,GRANDMASTER
24,8,3,1,0,1,0,3,0,1,1,31,11,14.04537810456926,True,GRANDMASTER
25,4,8,0,1,1,0,4,0,1,1,48,40,2.5448346939008673,False,GRANDMASTER
26,7,2,1,0,1,0,1,3,0,1,39,28,0.6223521746566831,True,GRANDMASTER
27,11,1,3,0,2,0,4,0,2,0,36,17,10.950642435768913,True,GRANDMASTER
28,7,9,1,2,0,2,4,1,0,1,50,39,4.282625843177328,True,GRANDMASTER
29,6,6,1,0,1,0,2,1,0,2,29,30,-0.17590391646658077,True,GRANDMASTER
30,3,11,0,3,0,1,0,4,0,2,16,37,-9.248035812301488,False,GRANDMASTER
31,4,8,0,1,0,1,1,2,2,0,21,29,-2.8600151886396503,False,GRANDMASTER
32,10,2,3,0,3,0,5,1,1,0,30,23,1.851050723345793,True,GRANDMASTER
33,11,3,3,0,1,0,2,2,2,0,33,17,4.3297317195025755,True,GRANDMASTER
34,2,3,0,0,0,1,0,3,1,1,11,30,-15.57515175350455,False,GRANDMASTER
35,11,4,3,0,2,0,3,1,1,1,28,18,6.2353683972541845,True,GRANDMASTER
