,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,5,11,0,3,0,2,2,3,0,1,28,33,-1.0223466508573367,False,PLATINUM
1,1,9,0,2,0,1,1,2,1,1,15,31,-14.045950692174308,False,PLATINUM
2,0,11,0,3,0,1,0,4,0,1,10,27,-9.953668891603755,False,PLATINUM
3,1,11,0,3,0,1,0,4,0,2,11,31,-13.165075690242169,False,PLATINUM
4,11,2,3,0,1,0,2,2,1,0,32,18,5.9336888220371335,True,PLATINUM
5,1,8,0,2,0,1,1,3,0,2,22,31,-3.7113800920101667,False,PLATINUM
6,8,4,1,0,0,1,3,2,0,2,51,42,3.3511948578646056,True,PLATINUM
7,10,1,3,0,1,0,3,1,1,1,28,20,4.075009922349835,True,PLATINUM
8,10,2,2,0,1,0,4,0,1,1,37,19,12.132742659363423,True,PLATINUM
9,2,4,1,2,0,0,0,0,0,0,64,62,2.0954978794445793,False,PLATINUM
10,9,7,2,1,2,0,2,3,0,2,40,34,3.8431876686992013,True,PLATINUM
11,3,4,2,3,0,0,0,0,0,0,74,80,0.19656842970347554,False,PLATINUM
12,1,4,0,2,0,0,0,0,0,0,44,55,-3.5075315771613305,False,PLATINUM
13,4,3,2,1,0,0,0,0,0,0,68,64,1.7344712670283755,True,PLATINUM
14,2,4,1,2,0,0,0,0,0,0,53,58,-0.9527170576042749,False,PLATINUM
15,3,3,0,0,0,0,2,2,0,2,24,10,10.597393840227987,True,PLATINUM
16,2,4,1,3,0,0,0,0,0,0,46,60,-2.1185971601174174,False,PLATINUM
17,2,4,0,1,0,0,0,0,0,0,62,46,0.9020973220077053,False,PLATINUM
