,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,4,1,0,1,0,2,1,1,1,39,29,3.6162506289216907,True,MASTER
1,10,2,2,0,1,0,3,0,1,1,37,22,5.212098128962282,True,MASTER
2,8,7,3,2,2,1,3,2,1,1,40,37,-1.80134152048565,False,MASTER
3,10,6,2,1,1,1,2,3,1,1,37,47,-6.674618509862107,True,MASTER
4,8,3,2,0,1,0,2,1,1,1,42,29,6.159438885914696,True,MASTER
5,10,5,2,0,1,0,1,3,1,1,33,23,-0.4214533408920573,True,MASTER
6,8,8,1,2,1,1,3,1,0,1,42,43,0.003664830029343591,True,MASTER
7,3,8,0,1,0,1,0,3,0,2,15,30,-11.655852068986299,False,MASTER
8,9,3,2,0,1,0,3,1,1,1,30,20,4.541317645080497,True,MASTER
9,8,4,1,0,2,0,4,0,1,1,34,30,-1.5478545253307274,True,MASTER
10,8,6,3,1,1,1,2,2,1,1,29,27,-2.01188066578284,False,MASTER
11,7,9,1,1,0,1,0,3,2,0,28,39,-7.497897927014712,False,MASTER
12,10,4,2,0,1,0,4,0,0,1,36,24,5.444398481977409,True,MASTER
13,3,9,0,2,0,1,0,3,0,2,15,44,-17.113748400058675,False,MASTER
14,4,7,0,1,0,1,0,3,1,1,11,34,-12.651914949721295,False,MASTER
15,10,4,1,0,1,0,3,1,1,1,38,36,1.9746393512702696,True,MASTER
16,7,2,0,0,1,0,3,0,0,2,39,24,9.474024569756033,True,MASTER
17,10,1,2,0,1,1,4,0,2,0,39,42,-5.2455099729344425,True,MASTER
18,5,10,0,2,0,2,3,2,1,1,35,47,-5.229332792110107,False,MASTER
19,5,11,0,3,0,1,0,3,0,2,35,41,-3.071595226397669,False,MASTER
20,6,3,1,0,1,0,2,1,1,1,39,34,2.195977665106085,True,MASTER
21,3,9,0,2,0,1,0,3,0,2,22,44,-8.356267112992896,False,MASTER
22,0,10,0,1,0,1,0,3,0,2,19,37,-11.16400520747975,False,MASTER
23,6,11,1,5,1,2,4,2,0,2,38,48,-1.3535731755784894,False,MASTER
24,9,1,1,0,1,0,3,1,0,2,38,18,11.23370464038197,True,MASTER
25,11,4,3,0,2,0,3,1,0,1,44,38,2.1248598660265685,True,MASTER
26,9,2,2,0,1,0,3,0,0,2,28,15,5.915524911946704,True,MASTER
27,2,10,0,2,1,0,1,3,0,2,32,53,-7.802408693460286,False,MASTER
28,7,3,1,0,1,0,3,1,0,2,40,27,3.7364496130308,True,MASTER
29,10,3,2,0,1,0,2,2,1,1,31,21,3.7899738044865074,True,MASTER
30,8,7,1,2,2,0,1,3,0,2,43,36,4.145349542868772,True,MASTER
