,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,7,0,2,0,0,2,2,1,1,36,40,2.2329167410567052,False,IRON
1,11,6,4,1,1,0,0,4,1,1,33,31,1.767691111974493,True,IRON
2,11,2,3,0,1,0,3,1,2,0,39,28,9.1238607289445,True,IRON
3,10,1,2,0,0,0,3,0,2,0,36,12,16.482032881452085,True,IRON
4,4,11,0,3,0,2,0,5,1,1,28,27,-8.155648254061276,False,IRON
5,8,10,1,2,1,1,1,4,1,0,36,47,-5.327874420284566,False,IRON
6,1,9,0,1,1,0,0,3,0,2,26,44,-9.695177840776346,False,IRON
7,10,3,4,0,2,0,3,1,1,0,34,17,7.523357485146995,True,IRON
8,11,7,4,1,2,2,3,4,1,0,30,38,-10.248884965963363,False,IRON
9,11,1,3,0,1,0,2,2,2,0,21,8,7.22644187608315,True,IRON
10,4,5,0,0,0,1,2,3,0,1,30,40,-8.316871586316772,False,IRON
11,3,8,0,1,0,2,0,5,0,1,35,48,-5.257042623199624,False,IRON
12,9,1,1,0,0,0,1,0,0,1,17,10,3.699902953897997,True,IRON
13,4,10,0,2,0,1,2,2,1,0,33,30,-1.6886371953837909,False,IRON
14,4,8,0,2,0,1,0,4,0,2,17,28,-13.836770589342741,False,IRON
15,6,8,0,1,0,0,3,2,0,1,25,30,-10.898138015171327,False,IRON
16,1,10,0,2,0,0,2,0,1,1,17,30,-5.962464778720786,False,IRON
17,5,9,0,1,1,1,1,4,2,0,41,50,-4.219416366470796,False,IRON
18,6,9,1,3,1,1,2,3,2,0,34,58,-9.836578289671081,False,IRON
19,2,3,0,0,0,0,1,1,0,2,20,27,-7.899781517574688,False,IRON
20,7,10,1,3,1,1,2,5,0,1,51,47,0.7747105637886449,False,IRON
21,6,4,1,0,0,0,2,1,0,1,33,19,11.262836417946392,True,IRON
22,3,10,0,3,1,0,1,3,0,2,27,44,-9.281625200276508,False,IRON
23,8,10,1,2,1,1,1,5,0,2,36,40,-5.48549872583699,True,IRON
24,3,2,0,0,1,0,2,1,1,0,24,13,12.636888630824654,True,IRON
25,8,6,1,0,1,0,3,2,0,2,37,32,-4.5348082627671396,True,IRON
26,9,2,2,0,0,0,4,0,1,0,37,32,1.7403514575920624,True,IRON
27,1,6,0,0,0,0,3,0,1,0,18,31,-4.8178728884545095,False,IRON
28,3,6,0,1,0,1,1,2,1,0,27,37,-7.275380885234377,False,IRON
29,11,6,3,0,1,0,3,3,1,1,34,36,1.4638236880667606,True,IRON
30,3,10,0,2,0,1,1,3,0,2,21,34,-10.396356264366332,False,IRON
31,4,10,0,3,0,1,2,2,0,0,21,35,-11.308552518637178,False,IRON
32,5,10,1,2,0,0,2,3,1,0,47,42,-5.750857223581697,False,IRON
33,4,7,0,2,0,1,1,4,2,0,38,51,-5.715130739816978,False,IRON
34,8,9,0,1,1,0,5,1,0,2,54,49,-1.468694945158802,False,IRON
35,10,2,4,0,1,0,3,2,2,0,51,36,3.9207495694840873,True,IRON
36,9,6,2,0,0,1,3,2,1,1,43,37,5.920500491702043,True,IRON
37,10,5,2,0,2,0,5,0,0,1,52,38,3.9092827847815386,True,IRON
