,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,3,2,0,1,0,3,1,2,0,39,20,1.4902431452203615,True,DIAMOND
1,8,11,2,3,0,2,0,4,2,0,21,47,-12.34755644954327,False,DIAMOND
2,4,11,0,3,0,3,3,2,2,0,40,42,-4.689277507474898,False,DIAMOND
3,3,11,0,2,1,0,2,2,2,0,21,19,-0.06156807757360383,False,DIAMOND
4,1,11,0,5,0,2,2,2,1,1,22,47,-10.682835123279865,False,DIAMOND
5,7,9,1,3,1,1,4,1,1,1,31,42,-1.6831555568876553,True,DIAMOND
6,2,9,0,2,0,1,0,4,1,1,19,44,-9.804807381482632,False,DIAMOND
7,2,4,0,0,0,0,1,3,0,2,12,24,-8.456949993708164,False,DIAMOND
8,4,8,0,1,0,2,1,4,2,0,38,48,-1.1701187368960078,False,DIAMOND
9,10,2,2,0,2,0,4,1,1,1,46,34,4.8408181555073355,True,DIAMOND
10,10,4,2,0,1,1,4,1,2,0,43,36,5.442475784823635,True,DIAMOND
11,6,10,1,1,1,1,2,3,2,0,39,44,-0.36518149819119117,False,DIAMOND
12,8,5,2,0,2,0,4,1,2,0,35,23,7.28866691117247,True,DIAMOND
13,5,8,0,1,0,1,0,4,1,1,37,46,-3.8873776408735736,False,DIAMOND
14,1,11,0,3,0,1,0,3,0,2,15,35,-14.560278585175553,False,DIAMOND
15,3,11,0,4,0,1,3,1,1,1,27,46,-8.701804888915873,False,DIAMOND
16,1,11,0,3,0,1,4,1,0,1,40,52,-2.232902050639673,False,DIAMOND
17,7,9,3,2,0,2,2,4,1,1,33,38,-5.239051222433432,False,DIAMOND
18,4,11,0,4,1,1,3,2,1,1,30,37,-2.2034036371394663,False,DIAMOND
19,7,5,2,0,1,0,3,2,1,0,51,36,3.703263588037636,True,DIAMOND
20,5,2,0,0,1,0,3,0,1,1,43,25,7.243976560339114,True,DIAMOND
21,7,5,1,0,1,0,2,2,2,0,27,27,1.7234517029041712,True,DIAMOND
22,8,8,1,1,0,1,1,2,2,0,34,42,-6.081833123682259,False,DIAMOND
23,7,7,0,1,0,2,2,3,1,1,30,33,-2.996071335546951,False,DIAMOND
24,8,3,1,0,1,0,4,0,2,0,28,23,1.0619099177094498,True,DIAMOND
25,7,5,1,1,1,1,3,2,1,1,44,34,7.394096562886901,True,DIAMOND
26,11,0,2,0,1,0,4,0,2,0,33,20,7.771353994131395,True,DIAMOND
27,3,5,0,0,0,1,0,3,2,0,22,45,-12.086599505151213,False,DIAMOND
28,9,6,1,0,1,0,4,1,1,1,50,27,8.897505223881822,True,DIAMOND
29,11,2,4,0,2,0,3,1,2,0,34,17,5.445860031762756,True,DIAMOND
30,4,8,0,1,1,1,2,3,1,0,32,56,-10.325878814532793,False,DIAMOND
31,1,11,0,2,0,1,0,3,1,1,20,40,-9.133844434562363,False,DIAMOND
32,2,10,0,1,0,2,1,4,0,2,28,50,-6.157659641114634,False,DIAMOND
33,4,10,0,2,0,1,0,4,2,0,21,41,-6.449498622369582,False,DIAMOND
34,6,1,1,0,1,0,2,1,0,2,38,26,5.123151174176577,True,DIAMOND
35,11,6,3,1,2,0,3,2,1,1,39,36,1.6081606876178398,True,DIAMOND
36,4,11,0,4,1,1,1,4,0,2,23,45,-8.577981343488233,False,DIAMOND
