,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,5,1,1,2,0,3,3,2,0,40,42,4.735382306041814,True,DIAMOND
1,1,11,0,5,0,1,3,1,0,2,26,37,-5.637781423839115,False,DIAMOND
2,10,3,2,0,1,0,2,1,2,0,46,27,9.325875554498737,True,DIAMOND
3,10,4,3,0,2,0,4,1,2,0,45,32,2.2697259841510515,True,DIAMOND
4,8,1,1,0,1,0,2,1,2,0,37,15,11.990059036313333,True,DIAMOND
5,11,4,3,0,1,1,4,1,2,0,35,29,3.6408136711676278,True,DIAMOND
6,4,10,0,2,0,2,1,4,1,1,36,50,-5.47889774145397,False,DIAMOND
7,8,4,2,0,1,0,4,0,1,1,43,14,13.64681511928707,True,DIAMOND
8,11,2,3,0,1,1,3,3,2,0,44,38,4.5297836446679085,True,DIAMOND
9,9,2,1,0,1,0,2,2,0,2,24,16,6.55709140916688,True,DIAMOND
10,11,6,3,1,1,1,4,1,1,1,41,36,-4.290678562728452,True,DIAMOND
11,10,6,3,0,0,2,4,0,0,2,46,28,6.318528977891837,True,DIAMOND
12,6,4,1,0,1,0,2,0,1,1,26,18,6.219247173641413,True,DIAMOND
13,8,4,1,0,2,0,4,1,0,1,56,36,6.017586797719083,True,DIAMOND
14,9,5,1,0,2,0,3,2,1,1,52,34,5.68290596420929,True,DIAMOND
15,8,6,1,0,2,0,4,1,0,2,48,34,3.2681680122446792,True,DIAMOND
16,11,7,4,0,1,1,4,1,1,1,34,31,1.9651114338393327,True,DIAMOND
17,3,8,0,2,0,1,1,3,0,0,30,47,-6.057386217244542,False,DIAMOND
18,5,11,0,3,0,1,1,3,0,2,20,39,-5.916753649873215,False,DIAMOND
19,9,3,2,0,2,0,1,3,2,0,34,26,3.083013569206244,True,DIAMOND
20,8,1,2,0,1,0,3,0,1,0,44,18,12.343247470977488,True,DIAMOND
21,2,11,0,2,1,0,1,2,0,1,36,50,-3.177838239418989,False,DIAMOND
22,3,11,0,3,0,1,1,3,0,1,21,40,-10.399482298530785,False,DIAMOND
23,0,11,0,4,0,2,1,2,0,1,23,39,-9.105028922259294,False,DIAMOND
24,8,4,1,0,1,0,2,1,1,1,35,23,5.040041400270411,True,DIAMOND
25,2,10,0,1,0,0,1,2,0,1,25,38,-5.728635225969768,False,DIAMOND
26,8,9,2,2,1,2,1,5,2,0,61,62,0.4484988184607772,False,DIAMOND
27,10,2,1,0,1,0,2,2,1,1,31,24,5.712773667266411,True,DIAMOND
28,4,8,0,1,0,1,2,2,1,1,29,41,-5.712982200066428,False,DIAMOND
29,5,8,0,1,1,1,2,2,2,0,34,42,-4.0548138656908534,False,DIAMOND
30,4,11,0,2,1,0,2,2,2,0,32,30,0.418289369881947,False,DIAMOND
31,5,7,0,1,0,2,2,3,0,2,21,30,-6.498073212558793,False,DIAMOND
32,5,10,0,1,2,0,3,2,0,2,28,31,-4.108072979004106,False,DIAMOND
33,1,11,0,2,0,1,0,3,0,2,13,29,-10.578197694332054,False,DIAMOND
34,3,10,0,2,0,1,1,3,2,0,26,38,-6.608610691718319,False,DIAMOND
35,8,1,2,0,0,1,1,3,2,0,32,30,1.2852717933613818,True,DIAMOND
36,7,3,1,0,1,0,3,0,2,0,37,21,6.799029572972913,True,DIAMOND
37,11,4,4,0,1,0,2,1,2,0,49,23,10.455178551982705,True,DIAMOND
