,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,4,3,0,0,0,2,2,0,2,48,29,3.438341554091899,True,BRONZE
1,9,5,1,0,1,0,2,2,1,1,41,28,4.236278014564441,True,BRONZE
2,2,1,0,0,0,0,3,0,0,1,31,14,11.97428394210521,True,BRONZE
3,8,7,1,1,0,3,3,3,0,1,34,34,1.3785825758383154,True,BRONZE
4,11,0,3,0,1,0,2,0,1,0,28,17,9.555103610452122,True,BRONZE
5,3,8,0,0,0,1,0,4,1,1,24,39,-7.4461729730199195,False,BRONZE
6,5,2,0,0,1,0,2,1,0,1,35,22,7.38046197947498,True,BRONZE
7,10,7,2,0,1,1,4,2,2,0,48,44,2.39523811461779,True,BRONZE
8,6,5,0,0,0,1,2,2,1,1,27,43,-7.173059064042917,False,BRONZE
9,2,7,0,0,0,2,1,4,0,2,27,52,-7.835662889565455,False,BRONZE
10,6,8,1,1,0,1,1,4,1,1,51,57,-6.287736699277787,False,BRONZE
11,11,3,3,0,1,0,2,2,0,2,48,36,0.8463739081897828,True,BRONZE
12,11,4,3,0,2,0,2,1,1,1,38,35,0.785816157136189,True,BRONZE
13,10,2,2,0,1,0,4,0,1,1,52,46,-2.784893460210924,True,BRONZE
14,10,5,2,0,1,0,2,1,0,2,42,20,7.705756187397846,True,BRONZE
15,9,7,1,1,2,1,5,3,0,2,55,40,1.692505868517273,True,BRONZE
16,2,10,0,1,0,1,1,3,0,2,18,32,-9.704047760590562,False,BRONZE
17,3,8,0,1,0,2,0,4,0,2,34,50,-1.9368019765142606,False,BRONZE
18,4,4,0,0,0,0,2,1,1,1,26,24,3.3558790235728395,True,BRONZE
19,8,7,1,1,0,0,1,3,1,0,29,33,1.1272440396483319,True,BRONZE
20,5,6,0,1,2,1,2,4,0,2,41,46,1.2181030939098463,False,BRONZE
21,2,9,0,2,0,0,2,2,0,1,36,43,-4.343306463278047,False,BRONZE
22,7,8,1,0,1,0,1,3,0,1,30,41,-2.763000237168484,True,BRONZE
23,10,6,1,0,2,2,3,3,0,1,46,32,4.842866384452641,True,BRONZE
24,7,1,1,0,0,0,2,2,1,1,25,23,5.451713730294983,True,BRONZE
25,4,5,0,0,1,1,2,3,1,0,28,39,-7.1739038609561945,False,BRONZE
26,5,7,1,1,0,1,2,1,2,0,18,27,-1.4451722432266862,False,BRONZE
27,4,9,0,1,1,1,0,4,0,2,41,51,-5.860653834261498,False,BRONZE
28,8,0,1,0,0,0,3,0,1,0,28,15,4.523138740170282,True,BRONZE
29,6,11,0,4,0,2,1,4,0,1,29,43,-6.0469711649771085,False,BRONZE
30,5,4,1,0,0,0,3,0,2,0,33,25,5.132798562906679,True,BRONZE
31,9,11,3,3,2,0,3,2,0,1,39,44,-3.5627295042888747,True,BRONZE
32,11,9,5,2,2,2,3,4,1,1,37,58,-9.229458696450116,False,BRONZE
33,8,9,1,1,1,1,3,4,0,2,55,54,1.2537668861421665,False,BRONZE
34,11,5,3,1,1,0,3,0,0,1,46,32,3.256068244784437,True,BRONZE
