,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,2,1,0,1,0,3,0,0,2,42,27,5.829361319301739,True,PLATINUM
1,1,11,0,1,0,1,0,4,1,1,20,34,-7.8844013844767815,False,PLATINUM
2,7,0,1,0,1,0,3,1,1,0,32,14,13.554928732445532,True,PLATINUM
3,1,8,0,1,0,0,0,4,0,2,15,38,-9.972469932145025,False,PLATINUM
4,5,11,1,5,0,2,2,3,0,2,43,50,-2.253714378959515,False,PLATINUM
5,3,11,0,4,0,2,2,4,0,2,27,54,-7.548138906864885,False,PLATINUM
6,3,10,0,1,1,1,1,4,2,0,21,40,-6.528881830988183,False,PLATINUM
7,11,4,4,0,2,1,5,2,2,0,44,27,4.718337088522418,True,PLATINUM
8,11,2,1,0,1,0,4,0,2,0,37,15,10.784940167854884,True,PLATINUM
9,5,11,0,5,1,1,1,3,0,2,36,41,-0.30779870151867783,False,PLATINUM
10,5,9,0,1,0,1,2,2,1,1,38,42,-4.360875128778623,False,PLATINUM
11,9,4,1,0,1,0,2,3,0,1,31,25,0.8891734577720598,True,PLATINUM
12,1,4,0,0,0,1,3,0,1,1,18,27,-5.650363793733916,False,PLATINUM
13,8,6,2,1,0,2,1,4,1,1,26,36,-3.42133950735726,False,PLATINUM
14,2,11,0,4,0,2,2,3,1,1,9,29,-11.718551002394726,False,PLATINUM
15,1,9,0,3,0,1,1,3,0,1,20,43,-8.717999882179377,False,PLATINUM
16,11,2,2,0,1,0,3,1,0,2,34,17,4.493848325740075,True,PLATINUM
17,1,10,0,2,0,0,1,2,0,1,25,47,-7.818362236911824,False,PLATINUM
18,5,0,1,0,1,0,2,0,2,0,25,11,11.784137286243812,True,PLATINUM
19,2,7,0,1,0,1,0,4,0,2,11,29,-11.759082114789571,False,PLATINUM
20,9,6,1,0,1,1,1,3,1,1,43,25,12.011193669400058,True,PLATINUM
21,11,1,5,0,2,0,2,2,2,0,34,23,6.186971026168379,True,PLATINUM
22,1,8,0,1,0,1,1,2,0,2,16,37,-4.880837536189105,False,PLATINUM
23,8,5,1,0,1,0,2,2,0,1,38,42,2.106035719160502,True,PLATINUM
24,7,10,1,1,0,1,0,5,2,0,30,39,0.5135772754716612,False,PLATINUM
25,0,10,0,2,0,1,2,2,0,2,10,26,-11.32344287829602,False,PLATINUM
26,8,3,1,0,0,1,3,1,0,2,31,25,5.421920199691691,True,PLATINUM
27,3,11,0,3,0,1,1,2,0,2,35,47,-0.9585102559930831,False,PLATINUM
28,11,2,2,0,1,0,3,0,1,1,37,21,7.496655072252771,True,PLATINUM
29,7,5,2,2,2,0,2,2,1,1,38,31,6.49242649791006,True,PLATINUM
30,7,2,2,0,1,0,3,1,1,0,40,20,11.709094276914968,True,PLATINUM
31,11,3,3,0,1,0,3,1,2,0,36,17,10.701771153391242,True,PLATINUM
32,11,3,3,0,1,0,2,2,1,0,36,23,5.251937533206096,True,PLATINUM
33,4,7,0,1,0,1,1,2,2,0,28,38,-4.680997617865124,False,PLATINUM
34,1,11,0,4,0,1,0,4,0,2,21,54,-12.225165086517308,False,PLATINUM
35,3,3,0,0,0,0,0,3,0,0,25,41,-9.39493805719814,False,PLATINUM
36,7,4,1,0,2,0,1,3,1,1,44,29,4.207346912937922,True,PLATINUM
