,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,4,0,2,1,4,0,2,28,49,-8.688058757849717,False,IRON
1,2,4,0,0,0,0,2,1,1,1,13,31,-7.09782489643095,False,IRON
2,9,2,1,0,0,0,2,1,0,0,44,23,9.43658316322923,True,IRON
3,9,9,3,2,0,1,4,2,2,0,27,48,-8.76777581885851,False,IRON
4,11,3,3,0,0,0,4,0,2,0,57,19,18.07667016853912,True,IRON
5,8,10,1,3,0,0,3,2,2,0,49,30,11.016656866038176,False,IRON
6,5,7,0,1,0,1,0,4,0,2,30,33,3.0075563730785717,False,IRON
7,9,2,2,0,0,0,4,0,2,0,28,14,9.447921857892396,True,IRON
8,2,11,0,3,0,0,0,3,1,1,24,40,-13.291809104425628,False,IRON
9,4,9,0,2,0,1,3,2,1,1,28,52,-8.414537123231518,False,IRON
10,4,9,0,2,0,2,0,5,2,0,15,41,-13.723689151345841,False,IRON
11,4,11,0,3,0,1,1,3,0,2,18,33,-3.7309114428341985,False,IRON
12,11,9,4,2,2,0,4,4,0,2,75,42,12.281086282618602,True,IRON
13,1,8,0,1,1,1,1,3,0,2,34,43,-4.766401911831181,False,IRON
14,10,3,2,0,1,0,5,0,1,1,48,25,9.520954601563915,True,IRON
15,2,11,0,4,1,0,2,2,1,1,35,27,-0.9523773148032575,False,IRON
16,3,8,0,2,0,1,2,2,0,2,32,16,1.0207315343054972,False,IRON
17,7,9,0,1,0,1,2,3,2,0,41,36,-0.6347887569059765,False,IRON
18,7,11,1,3,0,1,1,5,1,1,31,46,-2.4763547073801035,False,IRON
19,2,10,0,3,0,2,2,3,0,2,31,38,-2.0890416562092824,False,IRON
20,6,11,0,3,0,2,3,3,2,0,39,39,-3.0931005318796707,False,IRON
21,2,11,0,4,0,1,2,3,0,1,38,60,-6.374850612608093,False,IRON
22,10,10,1,2,1,1,5,1,0,2,49,30,4.282064824296128,True,IRON
23,11,4,4,0,1,0,4,1,1,1,40,31,7.470480303575506,True,IRON
24,10,4,2,0,1,0,2,2,1,1,48,28,7.604332535001795,True,IRON
