,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,6,2,0,1,1,3,2,1,1,36,19,7.6990118932084215,True,SILVER
1,10,7,2,1,2,0,2,1,0,1,48,22,10.621363180292292,True,SILVER
2,8,5,1,0,0,2,4,1,1,1,32,27,4.039867988094272,True,SILVER
3,3,9,0,2,0,1,2,1,0,2,23,38,-7.445712682290349,False,SILVER
4,3,6,0,0,0,1,1,3,1,1,24,40,-10.033659966542082,False,SILVER
5,10,5,2,0,3,0,4,1,1,1,60,37,9.229097008339735,True,SILVER
6,11,7,3,0,2,0,4,1,1,1,43,41,2.261530897536794,True,SILVER
7,8,8,4,3,2,1,3,4,1,0,45,44,-0.4844970549939802,False,SILVER
8,9,7,2,1,1,0,2,3,1,1,57,33,6.375073691138603,True,SILVER
9,3,11,0,3,0,1,2,2,1,1,27,43,-4.268903044612024,False,SILVER
10,11,1,3,0,1,0,4,0,1,1,31,14,10.728240360428565,True,SILVER
11,7,11,1,2,0,2,3,3,1,1,41,38,0.32788591104095133,True,SILVER
12,3,9,0,1,0,1,1,3,1,1,36,40,-0.9333785756875059,False,SILVER
13,4,11,0,4,0,1,0,5,2,0,25,52,-9.735770238500407,False,SILVER
14,3,11,0,3,0,1,1,3,0,2,42,38,-0.5252926648404284,False,SILVER
15,11,2,4,0,1,0,3,1,2,0,52,27,11.623422771959149,True,SILVER
16,2,10,0,4,0,1,2,3,1,1,26,40,-5.71983343509045,False,SILVER
17,5,9,0,2,0,1,1,3,0,1,23,35,-6.664208527968363,False,SILVER
18,1,9,0,1,0,0,0,2,0,2,15,20,0.7942238419180967,False,SILVER
19,2,9,0,1,0,0,3,1,2,0,35,33,2.508676625903668,False,SILVER
20,9,2,2,0,1,0,4,0,2,0,32,14,9.926593227939222,True,SILVER
21,5,9,0,1,0,1,0,4,1,1,25,42,-9.407911258486322,False,SILVER
22,1,8,0,1,0,0,3,1,0,2,17,42,-15.471496992109778,False,SILVER
23,1,9,0,2,0,1,0,3,0,2,18,33,-13.725560502002054,False,SILVER
24,9,4,3,0,2,0,2,4,0,2,46,43,-1.1247942390533936,True,SILVER
25,10,2,2,0,1,0,2,1,2,0,33,18,7.937482101356018,True,SILVER
26,5,5,0,0,1,0,1,3,1,0,23,26,0.41737311464507343,False,SILVER
27,8,3,1,0,1,0,1,2,0,2,40,22,11.41104268140046,True,SILVER
28,5,11,0,4,0,0,4,2,2,0,42,55,-2.2176133599104233,False,SILVER
29,5,11,1,3,1,1,1,4,0,1,40,47,-0.2900385063568862,False,SILVER
30,7,8,2,2,2,0,3,2,1,1,56,54,-2.0312955081232715,False,SILVER
31,1,11,0,3,0,1,0,3,0,2,11,44,-16.589140572304334,False,SILVER
32,3,8,0,2,0,1,2,2,0,2,20,40,-9.917511274570188,False,SILVER
33,1,11,0,3,0,1,1,3,0,1,18,34,-6.3400147957757085,False,SILVER
34,10,3,2,0,1,0,2,1,1,0,33,17,12.233685260542345,True,SILVER
35,4,10,0,2,0,2,1,3,2,0,24,35,-5.939759973095896,False,SILVER
36,2,10,0,2,0,0,2,1,1,1,20,42,-10.642504480491503,False,SILVER
37,11,3,3,0,2,0,4,1,2,0,47,34,5.85601602506015,True,SILVER
38,10,4,2,0,1,0,2,3,2,0,43,38,7.579357806257143,True,SILVER
39,8,5,1,0,2,0,3,2,0,2,40,34,3.691187542651228,True,SILVER
40,9,3,2,0,0,1,5,0,2,0,37,24,6.257058687750636,True,SILVER
