,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,10,2,2,0,2,1,5,0,1,28,48,-12.713861965110326,False,IRON
1,2,11,0,4,0,1,1,3,0,2,28,24,1.834158102559698,False,IRON
2,8,7,1,1,0,1,3,1,1,1,35,11,9.147778501347915,True,IRON
3,6,9,1,2,0,1,1,3,1,0,24,22,3.424827373741323,False,IRON
4,4,8,0,1,0,1,2,1,0,1,30,51,-6.05382589049885,False,IRON
5,3,10,0,4,0,1,1,4,0,2,37,34,-5.853136515110961,False,IRON
6,0,11,0,3,0,0,2,1,0,2,19,38,-11.650566955662796,False,IRON
7,11,5,2,0,3,0,3,3,2,0,57,38,9.689464144132117,True,IRON
8,3,9,0,2,0,0,1,3,0,2,7,21,-7.136192351304608,False,IRON
9,8,5,1,0,0,0,4,0,1,1,45,32,-0.2452070678620899,True,IRON
10,3,11,0,3,0,0,1,3,0,1,17,28,-10.245208118574133,False,IRON
11,4,9,0,1,0,1,1,4,0,1,36,42,-4.727796886521382,False,IRON
12,2,8,0,1,0,1,2,2,0,2,25,30,-4.181958263609836,False,IRON
13,8,4,1,0,0,0,3,1,1,1,34,32,0.49875981372862555,True,IRON
14,11,2,4,0,1,0,3,1,2,0,27,19,-2.7417971338604303,True,IRON
15,0,10,0,2,0,0,2,1,0,1,11,26,-13.53959347824297,False,IRON
16,4,10,0,3,0,1,2,4,1,1,32,47,-2.3939055233963913,False,IRON
17,9,4,1,0,1,0,4,0,2,0,35,19,3.7021738785533103,True,IRON
18,3,8,0,1,0,1,2,4,1,0,30,43,-4.808926347291262,False,IRON
19,5,11,0,4,0,1,0,5,0,2,32,39,-7.299668090761529,False,IRON
20,9,1,1,0,1,0,4,0,2,0,18,9,13.843100764111284,True,IRON
21,10,10,3,3,1,2,1,6,1,1,44,72,-10.04735802094229,False,IRON
22,9,2,2,0,0,0,3,0,1,1,18,10,7.668020527647791,True,IRON
23,9,11,2,4,1,2,3,4,0,1,44,62,-5.5440516613213475,False,IRON
24,1,10,0,2,0,1,0,3,0,1,35,42,-7.180974675501908,False,IRON
25,10,4,2,0,1,0,2,3,1,0,44,31,6.547910120224415,True,IRON
26,8,8,0,1,0,0,3,3,2,0,28,45,-8.226992604842586,False,IRON
27,0,11,0,3,0,1,0,3,0,2,6,24,-15.959441969319922,False,IRON
28,11,2,3,0,1,0,3,1,2,0,39,18,11.573046607095613,True,IRON
29,9,3,2,0,1,0,2,3,2,0,36,18,12.674208277109507,True,IRON
30,11,9,3,1,2,0,2,3,2,0,44,25,3.6217985503582995,True,IRON
31,8,9,2,1,2,0,3,3,0,2,30,39,-5.724836999768051,False,IRON
32,10,2,2,0,1,0,2,1,1,1,39,20,9.846855641367178,True,IRON
33,10,8,2,3,0,3,2,5,0,2,63,66,-2.1207767789805985,True,IRON
34,3,10,0,4,0,1,2,2,0,2,50,39,2.8641278705136344,False,IRON
35,2,2,0,0,0,0,1,2,0,1,19,27,-5.787575894413614,False,IRON
36,3,11,0,3,0,1,0,5,0,2,21,29,-8.6156668140355,False,IRON
37,1,8,0,1,0,1,1,2,0,1,22,32,-5.408065625808291,False,IRON
