,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,11,0,4,1,1,3,2,1,0,43,54,-7.35002589547927,False,SILVER
1,3,6,0,0,0,0,1,3,0,1,12,29,-12.591751959005222,False,SILVER
2,11,4,3,0,0,0,2,2,0,1,35,31,-0.5382556924779536,True,SILVER
3,4,8,0,1,0,2,2,3,0,1,32,37,-5.350739162994998,False,SILVER
4,2,9,0,3,0,1,1,1,0,1,9,25,-9.080748940764003,False,SILVER
5,10,0,2,0,0,0,3,0,1,0,36,10,16.814648424560623,True,SILVER
6,7,3,1,0,0,0,1,3,1,0,30,17,8.647674411893263,True,SILVER
7,11,4,5,0,1,0,4,0,2,0,55,30,7.281337858190696,True,SILVER
8,8,3,1,0,0,1,3,0,0,0,37,35,-2.2168902155079095,True,SILVER
9,11,1,3,0,1,0,4,0,2,0,38,21,7.3347682598130035,True,SILVER
10,3,9,0,2,0,1,1,2,1,1,34,41,-5.1314571620921114,False,SILVER
11,3,9,0,1,0,1,1,2,1,0,37,51,-8.199038819956094,False,SILVER
12,8,10,0,2,0,0,2,3,0,1,33,65,-14.195473415669412,False,SILVER
13,9,9,1,2,1,1,3,4,1,0,49,70,-1.8215849031013036,False,SILVER
14,9,8,3,1,1,1,3,4,0,1,45,53,-0.8198039606574454,False,SILVER
15,4,8,0,2,0,1,1,3,0,1,37,47,-8.559592045217169,False,SILVER
16,1,10,0,2,0,0,1,3,0,1,22,33,-7.970172360929077,False,SILVER
17,11,1,4,0,0,0,2,1,1,0,44,27,6.271144219678064,True,SILVER
18,8,7,1,1,0,2,3,2,0,1,47,50,1.0128932655665608,True,SILVER
19,9,3,2,0,0,1,2,2,0,1,53,38,1.5016129091844022,True,SILVER
20,1,3,0,0,0,0,0,2,0,1,17,36,-15.504797953958214,False,SILVER
21,9,2,2,0,0,0,3,1,1,1,43,29,2.5971771829864423,True,SILVER
22,5,11,1,3,0,2,2,4,0,2,45,45,-2.7693277142513466,False,SILVER
23,3,3,0,0,0,0,2,1,1,0,25,22,-3.9502233683460375,True,SILVER
24,11,6,3,0,1,0,3,2,0,2,44,41,-1.2893409637885185,True,SILVER
25,3,11,0,3,0,1,0,4,1,0,29,40,-8.419168066404808,False,SILVER
26,2,10,0,2,0,1,1,3,1,0,23,70,-16.259032798867942,False,SILVER
27,9,4,1,0,0,0,3,1,0,1,36,26,2.0886903419197225,True,SILVER
28,3,9,0,2,0,1,4,1,0,1,37,40,-4.4142922607886135,False,SILVER
29,7,7,2,0,1,0,2,2,1,0,44,35,0.3035949114298475,True,SILVER
