,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,1,2,0,0,0,0,0,0,75,67,0.3219455142258525,True,SILVER
1,9,2,2,0,1,0,1,3,2,0,33,19,8.973727863092222,True,SILVER
2,2,9,0,2,0,1,2,1,1,1,21,30,-4.814588251146233,False,SILVER
3,4,11,0,2,0,1,3,2,0,2,37,40,0.4552620503602043,False,SILVER
4,3,9,0,1,0,1,1,3,1,1,22,23,1.0072442454652162,False,SILVER
5,8,6,1,0,1,0,1,2,0,1,41,29,4.686101273370426,True,SILVER
6,11,7,2,3,2,1,4,2,0,1,63,41,5.555020359898002,True,SILVER
7,3,7,0,2,0,0,0,3,1,0,31,26,-4.233251343865682,False,SILVER
8,2,10,0,1,0,1,0,4,0,2,19,38,-7.647244803102332,False,SILVER
9,1,11,0,3,0,0,0,3,0,1,13,26,-12.810135107558075,False,SILVER
10,10,8,3,0,1,0,6,0,1,0,51,43,4.34416373022124,True,SILVER
11,4,10,0,2,0,1,1,2,0,1,21,35,-9.077832468031929,False,SILVER
12,3,9,0,1,0,0,2,3,0,1,24,42,-8.864706429598208,False,SILVER
13,3,8,0,1,0,1,0,4,0,1,15,33,-11.120901744013075,False,SILVER
14,8,1,2,0,1,0,3,1,2,0,34,20,7.4968007067924844,True,SILVER
15,9,5,1,1,0,1,2,1,1,1,33,27,2.5428501836247293,True,SILVER
16,11,3,4,0,1,1,2,2,1,1,31,29,-3.327684944843668,True,SILVER
17,7,8,1,1,1,1,3,2,0,2,41,39,1.1584735807167874,False,SILVER
18,5,11,0,3,0,2,4,3,1,0,27,37,-4.631252980219585,False,SILVER
19,2,4,0,2,0,0,0,0,0,0,41,52,-1.4153944073054987,False,SILVER
20,8,3,1,0,2,0,3,2,1,0,37,12,14.130455533390847,True,SILVER
21,10,2,4,0,1,0,4,0,0,0,38,20,8.178552882163913,True,SILVER
22,11,4,5,0,0,2,5,0,1,0,42,44,-3.920471625494038,True,SILVER
23,9,7,1,0,1,0,1,3,1,0,41,39,-0.6251267843615196,True,SILVER
24,3,8,0,1,0,1,1,3,2,0,25,37,-3.187127454654032,False,SILVER
25,10,4,1,0,1,0,4,0,1,0,37,19,14.724065457243647,True,SILVER
26,1,10,0,2,0,1,1,2,1,1,17,36,-11.44536530739176,False,SILVER
27,6,8,0,1,0,1,3,1,0,1,27,27,-0.7348213794339173,False,SILVER
28,9,3,2,0,1,0,4,0,1,1,40,21,9.348550503924628,True,SILVER
29,1,11,0,3,0,1,1,2,0,1,20,34,-6.4391260134473,False,SILVER
30,11,8,8,1,3,0,3,3,0,2,45,52,-1.0737140935007048,False,SILVER
31,2,11,0,4,0,2,2,2,0,2,16,43,-9.921009044417723,False,SILVER
