,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,8,0,1,0,1,1,3,1,1,15,27,-6.039583514720917,False,DIAMOND
1,3,9,0,2,0,1,2,2,2,0,26,31,-2.4042830985840737,False,DIAMOND
2,11,5,3,0,1,1,2,3,1,1,45,22,10.242080733544604,True,DIAMOND
3,11,1,2,0,1,0,3,1,2,0,36,18,8.536409888810866,True,DIAMOND
4,7,9,2,4,0,2,2,3,2,0,40,46,-2.7051358565692993,False,DIAMOND
5,10,4,2,0,0,1,3,0,0,1,44,27,10.529052480069943,True,DIAMOND
6,10,5,2,1,0,2,4,1,2,0,27,23,7.794929524731167,True,DIAMOND
7,3,8,0,2,0,1,0,3,1,1,14,30,-8.752815445299674,False,DIAMOND
8,7,3,1,0,1,0,3,0,0,2,40,19,11.454681853725724,True,DIAMOND
9,7,6,1,0,1,0,1,2,0,2,30,26,1.1603388657777955,True,DIAMOND
10,2,10,0,1,2,0,1,5,0,2,33,46,-6.209993909909237,False,DIAMOND
11,3,11,0,4,0,2,2,2,1,1,39,48,-4.300603205698778,False,DIAMOND
12,2,9,0,1,0,1,1,2,0,2,10,35,-10.802452583182394,False,DIAMOND
13,9,3,1,0,0,1,4,0,1,1,31,32,3.639264117758458,True,DIAMOND
14,9,1,1,0,1,0,3,0,2,0,34,17,6.122456757243647,True,DIAMOND
15,6,10,0,2,1,1,2,4,1,1,41,59,-8.446101578278352,False,DIAMOND
16,0,7,0,2,0,1,0,3,0,2,16,31,-6.588540294687284,False,DIAMOND
17,3,9,0,1,0,1,0,4,0,2,36,47,1.7442967507536835,False,DIAMOND
18,2,4,0,2,0,0,0,0,0,0,71,74,-1.1627275277343898,False,DIAMOND
19,8,4,2,0,2,0,1,3,1,1,38,40,0.6112675408864447,True,DIAMOND
20,2,10,0,1,0,2,1,4,0,2,41,60,-5.48362257651587,False,DIAMOND
21,10,3,2,0,1,0,1,3,1,0,37,29,-3.057803524780674,True,DIAMOND
22,2,11,0,3,0,1,0,3,1,0,21,39,-9.369534591129693,False,DIAMOND
23,9,2,1,0,1,0,2,1,2,0,35,18,11.934148305758384,True,DIAMOND
24,9,1,2,0,1,0,3,0,1,1,36,20,9.344307429903367,True,DIAMOND
25,10,5,3,1,2,0,2,2,1,0,50,29,10.572100430897002,True,DIAMOND
26,9,1,1,0,2,0,3,0,1,1,37,14,13.140086474101842,True,DIAMOND
27,1,11,0,2,1,0,0,4,0,2,23,39,-10.964803722006941,False,DIAMOND
28,0,11,0,3,0,1,1,3,0,2,19,29,-6.688195892800074,False,DIAMOND
29,11,2,4,0,2,0,4,1,1,1,36,34,3.8044681703951326,True,DIAMOND
30,2,8,0,1,0,1,1,3,1,0,17,36,-8.737954944760062,False,DIAMOND
31,9,4,1,0,1,1,3,1,0,2,41,20,10.68583711788665,True,DIAMOND
32,7,11,1,2,0,2,2,3,0,2,21,47,-6.5261955186960705,False,DIAMOND
33,10,3,3,0,1,1,4,1,1,1,37,30,-2.309523772412497,True,DIAMOND
34,1,10,0,2,0,1,0,3,0,1,17,37,-8.83896637038719,False,DIAMOND
35,9,8,1,2,1,0,1,3,2,0,44,35,6.902415234974136,True,DIAMOND
36,2,7,0,1,0,0,1,3,1,1,18,32,-6.142777220721072,False,DIAMOND
