,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,2,1,0,1,0,3,0,1,1,33,26,5.102341131555939,True,GOLD
1,2,6,0,0,0,1,1,2,0,2,15,32,-10.450495548147664,False,GOLD
2,3,7,0,1,0,0,1,1,1,1,22,32,-5.585960184291693,False,GOLD
3,5,2,0,0,1,0,3,0,1,1,39,25,10.568031804525148,True,GOLD
4,11,4,3,0,1,1,2,3,0,1,31,30,-0.5185311369406733,True,GOLD
5,10,9,2,3,2,0,4,2,0,1,38,31,2.182240052411643,True,GOLD
6,11,4,3,0,1,0,2,1,2,0,35,16,8.907481281958482,True,GOLD
7,2,4,1,2,0,0,0,0,0,0,65,70,-0.7126970849473722,False,GOLD
8,1,11,0,3,0,1,0,4,1,1,16,43,-13.766522394506872,False,GOLD
9,2,10,0,2,0,1,0,3,1,1,18,44,-13.493365673668663,False,GOLD
10,8,4,2,0,2,0,2,2,0,1,32,27,3.6165691266153814,True,GOLD
11,3,3,0,0,0,1,1,2,0,2,16,29,-5.4081976829859215,False,GOLD
12,6,7,1,1,0,1,1,2,1,1,27,36,-5.21955973821445,False,GOLD
13,10,4,1,0,1,0,1,2,1,1,35,21,8.875543134910217,True,GOLD
14,7,9,1,3,0,1,3,4,0,2,38,44,-6.2525490865229045,False,GOLD
15,10,3,2,0,1,0,4,0,0,1,31,21,10.510569088443333,True,GOLD
16,10,1,2,0,0,0,2,0,1,1,39,22,12.105259669222523,True,GOLD
17,3,10,0,2,0,1,0,4,0,1,28,46,-11.060936276155815,False,GOLD
18,11,5,3,0,2,0,2,3,1,1,48,44,0.6681036163464498,True,GOLD
19,0,10,0,2,0,1,0,3,0,2,14,39,-14.445534793618435,False,GOLD
20,11,2,3,0,1,0,4,0,1,0,53,26,10.381598940318646,True,GOLD
21,6,6,0,0,0,1,2,2,1,1,25,44,-7.647468664065293,False,GOLD
22,5,10,0,2,0,1,1,3,2,0,27,37,-6.568532840380662,False,GOLD
23,2,8,0,2,0,1,2,1,0,1,31,39,-4.400640328135317,False,GOLD
24,8,10,1,2,1,0,0,5,1,0,38,60,-3.4751536735106754,False,GOLD
25,11,7,4,1,2,1,3,3,1,1,49,50,-1.7206272884993155,True,GOLD
26,7,2,0,0,1,0,4,0,2,0,28,22,3.8813076799602086,True,GOLD
