,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,1,2,0,1,0,3,1,1,1,35,22,10.121024882884058,True,SILVER
1,8,7,2,1,0,1,3,2,1,0,44,43,-2.8469811427881524,False,SILVER
2,4,10,0,2,1,0,1,4,0,1,25,29,-1.4296640447306785,False,SILVER
3,8,5,1,0,0,1,3,2,1,1,27,31,-1.5560611159123425,True,SILVER
4,10,1,2,0,1,0,1,3,1,0,33,21,6.473422110398147,True,SILVER
5,1,10,0,2,0,0,0,3,0,1,7,20,-15.324026014820706,False,SILVER
6,8,8,2,4,1,2,3,4,0,1,49,37,0.11384992743042943,True,SILVER
7,3,11,0,4,0,2,2,3,1,1,39,41,-4.376016149244052,False,SILVER
8,11,1,3,0,1,0,4,0,2,0,43,25,8.454981549890896,True,SILVER
9,6,10,0,2,1,1,5,1,0,2,65,51,5.914167745328207,False,SILVER
10,7,10,0,2,1,0,0,5,1,0,35,48,-8.705776733819057,False,SILVER
11,8,8,1,4,1,0,2,3,0,1,52,36,6.799479754988141,True,SILVER
12,2,10,0,4,0,2,1,4,0,2,20,40,-8.809436898922371,False,SILVER
13,1,7,0,2,0,0,1,2,0,2,18,29,-9.179401671820997,False,SILVER
14,6,4,1,0,1,1,3,3,0,1,32,25,1.8468409173849238,True,SILVER
15,9,6,2,1,2,0,2,3,0,1,35,28,2.5854529664882904,True,SILVER
16,2,11,0,3,0,1,2,3,0,2,29,33,-2.492027981020165,False,SILVER
17,11,1,3,0,1,0,3,1,1,0,38,27,6.16057388604537,True,SILVER
18,1,8,0,1,0,0,1,3,0,1,18,27,-3.1997000259740105,False,SILVER
19,9,5,1,0,1,0,2,2,2,0,28,22,5.67230638403251,True,SILVER
20,10,5,1,0,1,0,3,2,1,0,37,18,7.400759326145909,True,SILVER
21,10,2,2,0,1,0,4,0,1,1,39,9,17.07648080699597,True,SILVER
22,1,8,0,1,0,0,1,2,0,2,16,25,-6.617049355946378,False,SILVER
23,7,7,1,0,1,0,3,1,0,2,35,36,-0.0718471593027985,True,SILVER
24,10,2,4,0,2,0,4,1,2,0,40,33,1.617412647981702,True,SILVER
25,2,11,0,2,0,1,0,4,0,2,19,40,-12.109346411163706,False,SILVER
26,9,6,1,1,0,1,3,1,2,0,29,22,1.8385696369962616,True,SILVER
27,3,10,0,2,1,1,2,3,2,0,28,43,-8.25411710205416,False,SILVER
28,3,8,0,1,0,0,0,4,0,2,19,35,-8.950080507837114,False,SILVER
29,7,7,2,1,0,1,4,0,1,1,37,27,4.478824575815736,True,SILVER
30,8,7,1,0,1,1,3,2,0,2,48,32,5.316514105816921,True,SILVER
31,4,9,0,1,0,1,0,4,1,1,21,28,-8.93210225070385,False,SILVER
32,10,1,2,0,1,0,3,1,2,0,37,17,9.862147295091418,True,SILVER
33,8,1,1,0,1,0,3,0,0,1,31,16,9.194878601581898,True,SILVER
34,9,8,2,1,1,1,4,1,0,1,48,36,1.3989210763215496,True,SILVER
35,5,4,1,0,1,0,2,3,1,1,41,29,7.457483290875551,True,SILVER
36,9,7,1,0,0,1,4,1,1,1,39,33,1.943650125415843,True,SILVER
37,10,5,3,0,1,1,2,2,2,0,38,25,3.8306601659333737,True,SILVER
38,5,10,1,2,0,3,3,3,1,1,32,44,-8.597545749498018,False,SILVER
