,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,4,2,2,0,0,0,0,0,0,72,67,2.1896426786400767,False,MASTER
1,8,5,1,0,1,0,2,3,0,2,33,31,1.558912571147566,True,MASTER
2,5,3,0,0,1,0,3,0,1,1,28,21,5.617263586360437,True,MASTER
3,11,3,3,0,1,1,3,1,1,1,30,33,-2.405252019811016,True,MASTER
4,1,9,0,1,0,1,2,2,0,2,20,28,-4.374289606536124,False,MASTER
5,11,0,3,0,1,0,2,1,2,0,27,19,1.5993652620249108,True,MASTER
6,9,4,1,0,1,0,3,2,1,1,30,34,1.8331787439883342,True,MASTER
7,10,1,2,0,1,0,3,0,1,1,36,16,10.494575344844705,True,MASTER
8,4,9,0,1,0,2,1,2,2,0,20,33,-4.984542525908076,False,MASTER
9,10,2,2,0,1,1,3,2,2,0,44,37,1.1907942087385948,True,MASTER
10,6,11,0,2,1,1,1,3,1,1,27,43,-5.066035589789635,False,MASTER
11,1,11,0,2,0,1,0,3,1,1,18,34,-8.115183308847996,False,MASTER
12,0,11,0,3,0,1,1,2,0,2,18,41,-8.556245107227177,False,MASTER
13,8,5,3,0,0,1,4,1,2,0,59,34,6.2868031509326485,True,MASTER
14,9,3,1,0,1,1,4,1,1,1,40,29,2.370960775914881,True,MASTER
15,2,4,0,0,0,0,1,3,0,1,17,31,-7.485342971042293,False,MASTER
16,6,10,1,2,0,1,2,1,1,1,21,28,-5.597487139366542,False,MASTER
17,11,4,3,0,2,0,4,0,1,1,32,19,5.205810066818501,True,MASTER
18,2,7,0,1,0,1,2,2,1,1,21,28,-4.625946849933278,False,MASTER
19,10,1,2,0,1,0,3,1,2,0,41,20,13.203708145911747,True,MASTER
20,0,10,0,2,0,1,1,2,0,2,17,28,-5.118880415135649,False,MASTER
21,11,2,3,0,1,0,2,1,1,1,33,27,3.3032669112571185,True,MASTER
22,1,11,0,4,0,1,0,1,0,1,12,26,-6.627843788059103,False,MASTER
23,0,9,0,2,0,1,1,2,0,2,18,23,-2.946173538106386,False,MASTER
24,8,4,1,1,0,0,4,0,1,1,21,19,1.89585278359516,True,MASTER
25,10,2,1,0,1,0,2,1,1,1,30,21,4.731422691106772,True,MASTER
26,7,9,0,1,0,2,4,2,1,1,37,35,0.9187912032924572,False,MASTER
