,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,2,2,0,0,0,0,0,0,74,76,-1.9347106649768548,False,GOLD
1,1,9,0,2,0,1,0,4,2,0,19,31,-6.711328302832733,False,GOLD
2,11,3,3,0,1,0,3,1,1,1,48,24,9.2733638376043,True,GOLD
3,6,11,0,3,1,1,2,3,0,2,31,31,-1.1042443626367628,False,GOLD
4,9,4,2,0,1,0,2,2,2,0,36,27,6.327940795663842,True,GOLD
5,2,4,0,3,0,0,0,0,0,0,72,75,-2.8451639882453534,False,GOLD
6,9,8,2,3,2,0,3,3,1,1,52,29,8.563375579434755,True,GOLD
7,3,9,0,1,0,1,1,4,0,2,32,53,-7.049446738086701,False,GOLD
8,11,1,3,0,1,0,3,1,2,0,36,25,5.4507296170239385,True,GOLD
9,8,3,3,0,2,0,4,1,1,1,34,29,3.0083330264094883,True,GOLD
10,9,8,1,0,1,2,3,3,0,2,49,65,-2.6959159390381657,True,GOLD
11,8,7,2,1,0,2,1,3,1,0,31,45,-3.122359011626081,False,GOLD
12,5,5,0,1,1,0,3,2,2,0,30,39,-2.182772378513647,False,GOLD
13,10,11,3,3,1,2,2,4,0,2,48,58,0.33670393498551476,True,GOLD
14,1,10,0,2,0,1,0,3,1,1,18,33,-10.135666377126945,False,GOLD
15,10,6,2,1,1,1,2,3,0,1,31,32,1.4743474705105797,True,GOLD
16,11,2,2,0,1,0,4,0,1,0,39,19,9.717241065501376,True,GOLD
17,0,11,0,5,0,1,0,4,0,2,25,35,-6.774404082746443,False,GOLD
18,8,1,1,0,1,0,3,0,2,0,39,18,14.034698066480857,True,GOLD
19,3,10,0,1,0,1,3,1,1,1,18,23,-3.645747741585069,False,GOLD
20,9,6,2,1,1,0,2,3,2,0,29,25,-0.8211122136541462,True,GOLD
21,6,0,0,0,1,0,3,0,2,0,29,8,12.17164046468963,True,GOLD
22,7,4,1,0,1,0,1,1,2,0,44,28,6.67666339861789,True,GOLD
23,11,1,3,0,1,0,3,0,0,1,40,12,9.274167096468034,True,GOLD
24,1,4,0,1,0,0,0,0,0,0,66,83,-3.2739030887766063,False,GOLD
25,2,11,0,3,0,0,1,2,1,1,21,32,-4.272939547459075,False,GOLD
26,3,11,0,4,0,1,2,2,2,0,29,41,-5.649196426945991,False,GOLD
27,0,10,0,2,0,0,1,2,0,1,28,43,-10.896228717298605,False,GOLD
28,10,6,2,0,2,0,3,1,0,1,44,36,3.1422459294989764,True,GOLD
29,8,6,2,1,1,0,3,3,0,2,34,20,6.799482863347329,True,GOLD
30,3,6,0,1,0,2,2,2,0,1,26,31,-6.479325687270503,False,GOLD
