,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,2,1,0,0,1,3,0,2,0,36,17,8.416320589769072,True,DIAMOND
1,10,3,2,0,2,0,2,2,0,2,34,32,2.054035940769772,True,DIAMOND
2,2,4,0,0,0,0,1,2,0,2,17,38,-12.506527555612308,False,DIAMOND
3,10,3,2,0,1,0,1,3,1,0,30,11,12.810451044317006,True,DIAMOND
4,10,7,2,1,2,0,3,2,0,2,41,33,0.10249812736202557,True,DIAMOND
5,3,11,0,3,0,1,0,4,0,2,13,31,-7.603228084212432,False,DIAMOND
6,6,9,0,2,0,1,1,4,2,0,27,45,-8.397486258329401,False,DIAMOND
7,10,3,2,0,1,0,2,1,1,1,35,8,15.193160384648422,True,DIAMOND
8,3,10,0,3,1,1,1,4,0,2,40,35,1.972022462861645,False,DIAMOND
9,11,2,3,0,1,0,3,1,1,1,31,23,3.467385186844318,True,DIAMOND
10,8,1,2,0,1,0,3,0,1,1,23,15,7.509861204482206,True,DIAMOND
11,11,0,3,0,1,0,2,2,2,0,38,24,4.923032394730065,True,DIAMOND
12,5,9,0,2,0,2,4,1,0,2,20,40,-11.522680598174624,False,DIAMOND
13,6,9,1,1,0,2,4,1,1,1,14,14,1.6494455281174254,False,DIAMOND
14,10,4,2,0,1,0,2,2,1,1,45,32,8.242579853806141,True,DIAMOND
15,11,3,4,0,2,0,5,0,1,1,33,26,7.315949269672409,True,DIAMOND
16,9,2,2,0,1,0,3,1,1,1,36,23,9.431056655337969,True,DIAMOND
17,5,6,0,0,0,1,2,1,0,2,16,30,-10.683363736415316,False,DIAMOND
18,9,8,1,1,0,1,3,2,0,1,48,54,2.063336818653106,True,DIAMOND
19,11,1,3,0,1,0,3,1,1,0,45,34,1.9194799287868847,True,DIAMOND
20,3,11,0,3,0,1,1,4,0,2,35,51,-4.409428464009686,False,DIAMOND
21,8,11,1,5,3,0,3,3,1,1,36,45,-3.312144289582811,False,DIAMOND
22,9,3,2,0,1,0,2,1,2,0,21,8,14.690472337539347,True,DIAMOND
23,8,2,1,0,0,0,1,1,2,0,39,17,10.225549993152633,True,DIAMOND
24,2,9,0,1,0,1,0,3,0,2,25,43,-9.482195922902498,False,DIAMOND
25,7,4,1,0,2,0,4,1,0,2,30,25,-2.212255767755707,True,DIAMOND
26,8,3,1,0,1,0,2,3,0,1,30,28,4.260942881180107,True,DIAMOND
27,11,2,2,0,1,0,2,1,0,1,33,25,2.80364809043396,True,DIAMOND
28,1,9,0,1,0,1,1,2,0,1,16,28,-9.978383437034346,False,DIAMOND
29,0,11,0,3,0,1,0,3,0,2,6,29,-15.378840891444518,False,DIAMOND
