,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,7,1,1,1,0,3,1,0,2,41,37,2.911331873705592,True,IRON
1,2,11,0,3,0,2,0,4,0,1,31,31,-2.0881834273635533,False,IRON
2,11,6,2,1,0,0,5,2,2,0,42,38,-1.0349702679938844,True,IRON
3,7,1,1,0,1,0,1,2,1,0,42,15,13.742807204251918,True,IRON
4,3,11,0,4,2,0,2,2,0,2,24,29,-0.5143381354867884,False,IRON
5,5,9,0,1,0,0,1,4,1,1,32,51,-4.582507170148418,False,IRON
6,6,1,1,0,0,0,3,1,0,1,32,14,10.531617130391375,True,IRON
7,1,4,0,1,0,0,0,0,0,0,72,65,0.680071066879151,False,IRON
8,4,3,2,2,0,0,0,0,0,0,84,85,-2.330285408797323,True,IRON
9,3,4,1,2,0,0,0,0,0,0,94,81,2.4614580855857398,False,IRON
10,1,4,0,2,0,0,0,0,0,0,56,65,-5.9460233674469904,False,IRON
11,1,11,0,2,0,1,1,2,0,2,19,26,-12.342789869657185,False,IRON
12,8,3,2,0,0,0,3,0,2,0,32,8,14.281477457118225,True,IRON
13,7,9,1,2,0,1,2,3,0,2,34,43,-3.024902510421178,False,IRON
14,2,4,1,2,0,0,0,0,0,0,76,66,-2.1016885756081365,False,IRON
15,4,1,2,0,0,0,0,0,0,0,56,58,-2.977867744852894,True,IRON
16,7,3,1,0,1,0,4,0,1,1,31,28,2.9975720181753758,True,IRON
17,4,9,1,2,0,1,1,3,1,1,25,29,-2.7123990836152743,False,IRON
18,10,2,3,0,2,0,2,3,2,0,44,30,8.532690524210956,True,IRON
19,0,11,0,3,0,0,1,2,0,2,28,45,-7.274195553216192,False,IRON
20,1,6,0,1,0,1,1,2,0,2,33,36,-1.2873254331508974,False,IRON
21,6,11,0,3,0,0,0,5,1,1,25,45,-8.415229771947814,False,IRON
22,1,4,0,1,0,0,0,0,0,0,59,85,-5.243427478831364,False,IRON
