,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,2,4,0,0,0,0,0,0,0,109,89,1.7337609593531695,True,CHALLENGER
1,2,4,2,2,0,0,0,0,0,0,68,71,-0.46633513823840644,False,CHALLENGER
2,8,5,1,0,0,2,3,1,1,1,37,20,6.012255281288304,True,CHALLENGER
3,7,8,1,1,2,0,1,4,1,1,43,56,-1.7130616464027497,True,CHALLENGER
4,7,5,0,0,2,0,3,2,1,1,59,41,5.775941407427261,True,CHALLENGER
5,4,11,0,3,0,2,0,4,0,2,27,38,-4.680028547092789,False,CHALLENGER
6,1,10,0,2,0,1,1,2,1,1,23,41,-6.231827674269283,False,CHALLENGER
7,3,9,0,1,1,0,2,2,1,1,23,27,-4.021388689850738,False,CHALLENGER
8,2,11,0,2,0,0,1,2,0,2,16,23,-3.6762823203102926,False,CHALLENGER
9,1,11,0,3,0,1,2,1,0,2,30,25,1.8385803422639313,False,CHALLENGER
10,3,2,1,1,0,0,0,0,0,0,72,54,2.248438100912651,True,CHALLENGER
11,1,4,0,2,0,0,0,0,0,0,77,74,-0.45777169242713,False,CHALLENGER
12,7,6,2,1,2,0,0,5,1,1,27,36,-5.332530587070828,False,CHALLENGER
13,3,9,0,1,0,1,2,2,1,1,15,29,-9.955702767407438,False,CHALLENGER
14,9,4,2,0,1,0,1,3,2,0,34,27,2.050007537391785,True,CHALLENGER
15,9,7,0,1,1,1,0,4,1,1,30,24,0.8500261163747354,False,CHALLENGER
16,1,5,0,1,0,0,0,4,2,0,13,27,-10.567597850925203,False,CHALLENGER
17,8,4,2,0,1,1,4,0,1,1,29,22,2.5706270658045867,True,CHALLENGER
18,4,1,2,0,0,0,0,0,0,0,89,46,10.196104547941356,True,CHALLENGER
19,4,4,3,2,0,0,0,0,0,0,88,89,-0.9206525881130361,False,CHALLENGER
20,4,2,3,2,0,0,0,0,0,0,64,65,-0.6105596212423876,True,CHALLENGER
21,4,9,0,1,0,1,2,1,1,1,22,51,-12.915089822667301,False,CHALLENGER
22,1,9,0,2,0,1,1,2,0,2,16,34,-12.786161824775718,False,CHALLENGER
23,5,4,0,0,1,0,3,0,2,0,27,10,10.378412834161686,True,CHALLENGER
24,11,2,3,0,0,0,1,2,2,0,32,22,6.0079796793291464,True,CHALLENGER
25,9,3,2,0,1,0,1,2,2,0,30,17,7.793795806709795,True,CHALLENGER
26,2,10,0,2,0,1,0,4,0,2,21,34,-2.302229699552143,False,CHALLENGER
27,10,1,1,0,2,0,3,0,2,0,33,26,2.996071624656743,True,CHALLENGER
