,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,1,2,0,0,0,0,0,0,0,69,58,0.23456489456892626,True,SILVER
1,2,7,0,1,0,1,1,2,0,1,21,17,4.018719027609308,False,SILVER
2,10,1,2,0,0,0,3,1,1,0,38,25,8.699608230287517,True,SILVER
3,4,3,2,1,0,0,0,0,0,0,64,60,1.0443042053195555,True,SILVER
4,2,4,1,3,0,0,0,0,0,0,69,64,1.358485214162215,False,SILVER
5,6,11,1,3,1,1,4,2,1,1,43,53,-2.9727389829667885,False,SILVER
6,3,8,0,1,0,1,2,1,0,1,33,58,-4.2270371798923705,False,SILVER
7,11,5,3,0,2,0,4,2,1,1,44,37,2.6598430277953256,True,SILVER
8,11,2,3,0,1,0,2,1,2,0,38,17,10.993093575547114,True,SILVER
9,10,3,2,0,1,0,3,2,1,0,49,34,6.965545878635986,True,SILVER
10,2,9,0,2,0,0,0,4,1,1,23,40,-9.727121053017022,False,SILVER
11,9,6,3,1,2,0,5,0,1,1,46,37,3.503753001021394,True,SILVER
12,3,10,0,2,0,2,1,3,0,1,30,52,-4.278225057461924,False,SILVER
13,3,11,0,3,0,1,2,2,0,1,26,23,3.041424017208712,False,SILVER
14,0,11,0,3,0,1,2,2,0,0,20,37,-6.411912565049505,False,SILVER
15,3,11,0,4,0,1,1,2,0,2,29,38,-6.29566238497376,False,SILVER
16,2,1,0,0,0,0,1,1,0,0,23,26,-6.019398631855893,False,SILVER
17,11,0,3,0,2,0,3,1,2,0,27,17,3.4706954552495617,True,SILVER
18,10,6,4,1,1,1,4,2,2,0,48,38,3.5052402079852385,True,SILVER
19,3,9,0,2,1,1,0,5,0,2,31,47,-0.5371985950732991,False,SILVER
20,4,11,0,3,0,2,0,5,0,2,27,48,-9.07542124618407,False,SILVER
21,4,11,0,3,0,2,0,5,2,0,28,48,-6.339968397750631,False,SILVER
22,3,11,0,3,0,1,0,4,0,2,27,39,-8.357796241349028,False,SILVER
23,11,1,2,0,1,0,2,0,1,1,34,29,3.061104987546038,True,SILVER
24,10,3,3,0,0,0,3,1,0,1,33,12,11.132040576719831,True,SILVER
25,11,1,3,0,0,0,4,0,2,0,34,24,4.852298532603513,True,SILVER
26,4,10,0,2,0,1,2,2,0,1,23,29,-1.3275733228803333,False,SILVER
27,11,5,3,0,2,0,2,2,2,0,42,47,-5.529103557791473,True,SILVER
28,9,0,2,0,1,0,3,0,2,0,34,27,1.9945031003232572,True,SILVER
29,0,9,0,2,0,1,1,2,0,2,22,24,-3.676410896802892,False,SILVER
30,3,4,0,0,0,0,1,2,1,1,19,16,-1.448172644139973,True,SILVER
31,10,3,2,0,0,0,4,0,0,0,39,25,7.572256488989588,True,SILVER
32,10,3,1,0,1,0,3,1,1,0,42,13,14.43400813543554,True,SILVER
33,10,3,2,0,1,0,2,2,2,0,46,18,11.893144904222058,True,SILVER
