,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,8,3,1,1,0,3,2,0,2,67,79,-3.7282655789145736,True,PLATINUM
1,3,9,0,1,0,0,1,3,1,1,23,53,-11.278751950599336,False,PLATINUM
2,1,10,0,1,0,1,0,4,1,1,25,41,-4.932959972326628,False,PLATINUM
3,4,2,2,1,0,0,0,0,0,0,57,69,-4.219829010422259,True,PLATINUM
4,4,4,2,1,0,0,0,0,0,0,67,72,-0.7145310481094995,False,PLATINUM
5,2,4,2,1,0,0,0,0,0,0,79,79,2.1509137406477166,False,PLATINUM
6,3,11,0,5,0,3,2,4,0,1,38,59,-5.995502368938411,False,PLATINUM
7,8,5,1,1,0,1,1,3,1,0,48,38,-1.65026450403262,True,PLATINUM
8,4,8,0,1,0,1,2,1,1,0,34,36,-2.3621151186836045,False,PLATINUM
9,11,2,3,0,1,0,3,1,1,1,35,12,13.682654815378378,True,PLATINUM
10,11,1,4,0,0,0,4,0,1,1,48,30,6.277428164558771,True,PLATINUM
11,5,8,0,1,0,1,3,1,1,0,20,32,-10.087214337587568,False,PLATINUM
12,5,9,0,1,0,1,1,2,1,1,30,36,-1.0671434747041957,False,PLATINUM
13,9,2,2,0,2,0,2,2,0,0,43,32,0.7785460194224143,True,PLATINUM
14,2,10,0,2,0,1,0,3,0,2,18,36,-8.001261894506776,False,PLATINUM
15,1,11,0,2,0,1,1,1,0,2,21,40,-11.11027691697156,False,PLATINUM
16,9,3,1,0,0,1,4,0,1,1,26,23,2.6490431069233225,True,PLATINUM
17,2,7,0,1,0,1,1,3,1,1,30,29,-0.47987978026212375,False,PLATINUM
18,10,3,2,0,1,0,2,2,1,1,55,49,3.7847525710410395,True,PLATINUM
19,10,2,2,0,0,0,3,0,2,0,36,23,8.924847932941518,True,PLATINUM
20,7,8,1,1,1,1,1,4,0,1,34,29,2.8490942755197466,True,PLATINUM
