,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,9,0,1,0,1,0,3,1,1,16,27,-6.450340226189319,False,BRONZE
1,7,11,2,3,1,1,0,5,1,1,38,47,-3.9469928703102326,False,BRONZE
2,2,4,0,0,0,0,1,2,1,0,16,37,-15.685431120959969,False,BRONZE
3,2,9,0,2,0,1,2,3,1,0,29,37,-6.294616464498283,False,BRONZE
4,1,9,0,1,0,0,1,2,0,2,10,29,-11.714248189708485,False,BRONZE
5,7,9,0,3,1,1,1,4,0,2,45,56,-1.2393232213124747,False,BRONZE
6,9,9,1,2,1,0,3,2,0,0,62,35,9.172268454428448,False,BRONZE
7,11,6,3,0,1,1,4,2,1,1,45,40,3.647407969848146,True,BRONZE
8,1,8,0,2,0,0,0,3,0,2,15,31,-8.989728827017245,False,BRONZE
9,3,11,0,6,1,1,1,3,1,1,32,49,-2.3597626965873957,False,BRONZE
10,5,10,0,3,0,1,0,4,1,1,21,37,-13.021943246584165,False,BRONZE
11,3,11,0,2,0,1,1,3,1,0,29,42,-5.592765351153176,False,BRONZE
12,5,11,0,4,1,1,1,4,1,1,26,41,-2.429338253622305,False,BRONZE
13,3,8,0,1,0,1,0,4,1,0,14,32,-14.281848575250127,False,BRONZE
14,4,8,0,1,0,1,2,2,1,1,21,24,-6.086643121304327,False,BRONZE
15,5,10,0,1,1,1,2,3,0,2,44,37,4.7675152152108,False,BRONZE
16,10,3,2,0,1,0,2,1,1,1,33,15,12.945328574587208,True,BRONZE
17,9,0,2,0,1,0,2,1,2,0,36,33,4.64194426027894,True,BRONZE
18,6,10,2,1,1,1,3,2,0,1,51,44,-2.1300894602141085,False,BRONZE
19,7,11,0,4,0,1,3,3,2,0,38,36,3.21622753090967,False,BRONZE
20,11,10,3,4,2,1,4,2,1,1,53,44,2.8539109052967575,True,BRONZE
21,0,9,0,2,0,0,1,2,1,0,18,29,-12.059323577662084,False,BRONZE
22,11,9,3,2,2,1,5,3,0,2,48,50,-0.18342981108351353,True,BRONZE
23,8,2,1,0,1,0,3,0,2,0,37,11,11.167229172433643,True,BRONZE
24,9,8,1,1,1,1,2,3,2,0,39,42,-1.5297244298128376,False,BRONZE
25,11,7,5,2,2,0,4,1,1,1,44,30,4.479839797391243,True,BRONZE
26,3,6,0,0,0,1,0,4,1,0,25,35,-8.146698390989322,False,BRONZE
27,6,8,0,1,0,2,2,4,0,2,34,39,-1.202950340966325,False,BRONZE
28,11,3,4,0,2,0,4,1,0,2,44,23,6.149135106836113,True,BRONZE
29,2,9,0,2,0,0,1,3,0,2,16,29,-9.706134666869062,False,BRONZE
30,2,11,0,3,0,1,0,4,0,2,12,28,-10.281717384823231,False,BRONZE
31,3,7,0,1,0,1,1,3,2,0,7,22,-15.967994959125036,False,BRONZE
32,10,3,1,0,1,0,4,0,0,1,30,29,-0.5061660065483551,True,BRONZE
33,10,2,2,0,1,0,3,1,1,0,46,29,2.9078103142410896,True,BRONZE
34,10,6,2,0,1,0,3,1,1,1,53,36,5.749381051712518,True,BRONZE
35,7,9,3,1,2,0,1,5,2,0,30,54,-8.737503656634537,False,BRONZE
36,11,1,3,0,1,0,4,1,1,0,29,18,6.281898015544826,True,BRONZE
37,4,8,0,1,0,0,3,1,2,0,31,38,-2.882430359742692,False,BRONZE
38,9,3,1,0,1,0,3,1,1,1,29,15,10.217578305638042,True,BRONZE
