,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,11,0,3,0,1,0,4,1,1,36,56,-9.534338691643228,False,IRON
1,2,4,1,2,0,0,0,0,0,0,69,81,-2.942705621524425,False,IRON
2,3,9,0,1,0,1,0,4,0,2,40,42,-1.4618977086164477,False,IRON
3,2,8,0,1,0,0,0,4,1,1,24,34,-0.1413402553775711,False,IRON
4,1,11,0,3,0,1,1,3,1,1,25,50,-11.938687321319566,False,IRON
5,10,9,1,6,1,0,4,3,1,0,56,48,6.181719449328135,True,IRON
6,11,2,4,0,2,0,5,0,0,1,42,21,6.944717470549328,True,IRON
7,8,7,1,0,1,0,4,1,1,1,40,22,8.839145786254534,True,IRON
8,5,10,0,2,0,1,1,5,0,2,46,47,1.7177155801898962,False,IRON
9,3,11,0,3,0,0,0,5,0,1,36,45,-6.831150598102575,False,IRON
10,6,11,1,5,2,0,1,4,1,0,53,65,-6.313660663367301,False,IRON
11,6,9,2,2,0,1,2,2,1,0,22,38,-6.935383462991588,False,IRON
12,9,1,1,0,0,0,3,0,0,0,35,18,12.689806758837975,True,IRON
13,10,6,3,0,1,0,4,2,0,2,56,51,4.046831847022631,True,IRON
14,8,10,1,2,1,1,5,1,0,2,36,21,6.447483008852878,True,IRON
15,2,11,0,3,0,0,1,3,1,1,34,36,2.533955106407518,False,IRON
16,0,11,0,2,0,0,2,1,0,1,26,45,-3.72800843536281,False,IRON
17,1,9,0,2,0,1,0,4,0,1,13,26,-12.16898997740175,False,IRON
18,4,10,0,3,0,1,1,2,1,1,24,29,-1.2654110176104254,False,IRON
19,7,10,1,3,0,3,3,2,1,1,58,59,2.838485484603126,False,IRON
20,9,6,1,1,1,1,5,0,1,0,46,35,2.1156601381940945,True,IRON
21,1,5,0,0,0,0,1,1,0,1,7,23,-14.824867274831945,False,IRON
22,8,3,1,0,1,0,4,0,0,2,41,10,16.965046995370887,True,IRON
23,2,9,0,2,0,1,0,3,0,2,16,39,-8.342089594773235,False,IRON
24,4,11,0,3,1,0,0,5,0,1,42,45,-2.3048914215280973,False,IRON
25,2,10,0,2,0,0,1,3,1,0,17,37,-8.174753502989635,False,IRON
26,10,7,3,0,1,0,3,2,1,0,47,16,11.599840923340473,True,IRON
27,4,1,1,0,0,0,0,0,0,0,50,51,-1.3417535516968044,True,IRON
28,2,5,0,0,0,1,1,2,0,2,9,30,-14.57283727641995,False,IRON
