,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,1,1,0,0,0,0,0,0,0,55,50,1.3570897669124093,True,SILVER
1,1,4,0,2,0,0,0,0,0,0,49,55,-1.8471954810196394,False,SILVER
2,4,4,2,2,0,0,0,0,0,0,93,80,1.8135259020649315,True,SILVER
3,5,8,0,1,0,2,1,4,0,1,18,39,-6.648819425000404,False,SILVER
4,8,5,1,0,2,0,2,2,0,1,28,26,3.5998561945023013,True,SILVER
5,2,10,0,1,0,1,1,2,0,2,18,28,-10.525336123734235,False,SILVER
6,6,2,0,0,1,0,2,2,1,1,22,17,2.5621541543421316,True,SILVER
7,1,11,0,3,0,1,1,2,0,2,16,31,-10.783881798429068,False,SILVER
8,11,1,3,0,1,0,1,2,2,0,41,23,9.009988884437611,True,SILVER
9,10,3,2,0,2,0,4,1,1,1,42,26,10.41607522458439,True,SILVER
10,7,9,1,2,1,1,5,0,0,2,47,41,0.061487440137611316,True,SILVER
11,7,11,4,3,1,1,2,3,2,0,53,55,-2.2100933539175074,False,SILVER
12,4,8,0,1,0,1,1,3,0,1,20,30,-8.695881908290865,False,SILVER
13,5,9,0,2,0,1,3,1,0,2,27,37,-4.170795409483404,False,SILVER
14,11,6,4,1,2,0,3,1,2,0,31,20,4.937165894804899,True,SILVER
15,5,10,0,2,0,2,2,2,1,0,29,37,2.512319320269377,False,SILVER
16,10,5,2,0,0,1,3,2,2,0,58,47,1.0775052465046926,True,SILVER
17,6,9,0,1,0,1,1,4,1,1,26,45,-5.644621538083214,False,SILVER
18,4,1,2,0,0,0,0,0,0,0,62,62,-0.6076240286375594,True,SILVER
19,3,4,2,1,0,0,0,0,0,0,68,77,-1.8254842943235658,False,SILVER
