,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,11,1,3,0,1,0,3,0,1,1,37,3,23.428636573569296,True,BRONZE
1,1,4,0,2,0,0,0,0,0,0,51,63,-2.4310296453237257,False,BRONZE
2,2,11,0,3,0,0,0,3,0,1,15,35,-16.70671195289183,False,BRONZE
3,10,5,2,1,1,0,3,1,1,1,31,23,3.893416950591508,True,BRONZE
4,5,10,0,3,0,1,2,3,1,1,30,34,-2.010985313774256,False,BRONZE
5,4,3,1,2,0,0,0,0,0,0,67,63,-0.10850573917821293,True,BRONZE
6,11,3,3,0,2,0,4,0,1,0,23,11,7.583720642584481,True,BRONZE
7,9,1,2,0,1,0,3,0,2,0,36,22,8.964964384497627,True,BRONZE
8,11,1,4,0,1,0,3,1,1,1,35,14,10.080907451441767,True,BRONZE
9,10,10,4,2,3,0,2,5,0,2,40,39,-2.3069493094851836,True,BRONZE
10,4,9,0,2,0,0,1,2,0,2,39,35,-0.11540155535961105,False,BRONZE
11,3,10,0,2,0,0,0,5,1,1,31,44,-2.3886454535870953,False,BRONZE
12,1,4,0,2,0,0,0,0,0,0,50,56,-1.0892836907671466,False,BRONZE
13,4,2,1,2,0,0,0,0,0,0,59,56,-0.9565022741312035,True,BRONZE
14,10,5,2,1,1,1,2,3,1,0,37,39,0.6636664042690796,True,BRONZE
15,9,4,2,0,2,0,2,4,0,1,44,36,6.183566629476367,True,BRONZE
16,4,1,2,0,0,0,0,0,0,0,69,61,5.18569878560141,True,BRONZE
17,1,2,0,2,0,0,0,0,0,0,63,67,2.726729721510786,False,BRONZE
18,8,4,1,0,1,0,2,2,0,1,22,16,5.793949804240334,True,BRONZE
19,6,3,0,0,0,0,4,0,1,1,37,34,1.4327200076346855,True,BRONZE
20,2,11,0,5,0,1,0,4,0,2,12,40,-13.104300249050297,False,BRONZE
