,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,1,2,0,0,0,0,0,0,65,69,-0.7225944981448578,False,BRONZE
1,10,5,2,0,1,0,4,1,0,1,59,46,1.6955451741500411,True,BRONZE
2,10,9,1,4,2,0,5,0,0,2,42,16,11.453118338386382,True,BRONZE
3,10,1,2,0,0,0,2,1,2,0,34,19,4.792513414627322,True,BRONZE
4,1,10,0,2,0,0,0,4,0,2,23,36,-9.644346745541704,False,BRONZE
5,7,9,1,1,0,2,0,5,0,1,37,42,-3.1596067333017572,False,BRONZE
6,3,10,0,2,0,1,2,3,2,0,19,36,-7.733370810127383,False,BRONZE
7,11,4,2,0,1,0,4,1,2,0,34,27,2.329873916418407,True,BRONZE
8,4,1,2,0,0,0,0,0,0,0,80,62,2.722559382959062,True,BRONZE
9,4,3,1,1,0,0,0,0,0,0,82,78,1.9923918208903473,True,BRONZE
10,2,4,0,1,0,0,0,0,0,0,63,70,0.039949330042169606,False,BRONZE
11,1,4,0,2,0,0,0,0,0,0,63,69,-1.0406021597320603,False,BRONZE
12,3,4,1,2,0,0,0,0,0,0,77,67,0.8082453374169845,False,BRONZE
13,2,4,0,1,0,0,0,0,0,0,61,53,3.959305731210698,False,BRONZE
14,2,4,1,2,0,0,0,0,0,0,85,80,0.2967175770588284,False,BRONZE
15,2,4,1,2,0,0,0,0,0,0,68,74,1.3193298868538719,False,BRONZE
