,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,11,0,4,0,1,0,4,0,2,23,33,-10.518137085502019,False,IRON
1,11,7,3,0,2,0,4,1,0,1,40,34,0.06742002530899072,True,IRON
2,7,4,1,0,0,0,3,1,0,2,34,25,0.6129093743496483,True,IRON
3,8,3,2,0,1,0,3,0,2,0,38,16,11.21072270545196,True,IRON
4,4,1,0,0,0,0,3,0,0,1,28,17,7.0339216387578745,True,IRON
5,9,2,1,0,0,0,2,2,1,0,40,36,-1.9604316166294709,True,IRON
6,8,11,1,3,0,1,4,3,1,0,58,47,1.155251021501293,False,IRON
7,11,9,4,2,1,2,4,1,1,1,47,67,-2.786372931709714,False,IRON
8,10,2,2,0,0,0,3,0,2,0,47,10,21.438605464601174,True,IRON
9,9,2,2,0,0,0,4,1,2,0,53,29,8.451429318998947,True,IRON
10,6,9,1,1,0,2,1,4,1,1,14,52,-18.05161667752889,False,IRON
11,1,10,0,3,0,0,0,4,0,2,24,33,-7.107219812676064,False,IRON
12,11,8,4,3,3,0,4,2,0,2,58,50,4.941115496344608,True,IRON
13,11,3,3,0,0,0,3,2,0,0,51,22,9.293704462053945,True,IRON
14,8,10,0,2,1,2,2,4,2,0,40,58,-3.4764972790289193,False,IRON
15,4,7,0,1,0,1,1,2,2,0,28,32,7.9251701513808825,False,IRON
16,2,9,0,3,0,0,1,3,0,1,33,32,-4.709278381629488,False,IRON
17,4,7,0,1,0,0,4,1,1,1,33,36,-2.7548118874750926,False,IRON
18,8,11,3,4,1,1,1,4,1,1,49,55,0.05952884615903287,False,IRON
19,6,11,0,3,0,0,2,2,0,1,28,57,-16.013816383476026,False,IRON
20,10,1,3,0,0,0,4,0,1,1,30,23,4.037308221389701,True,IRON
21,3,6,0,0,0,0,1,2,0,1,26,50,-8.445218034053639,False,IRON
22,7,10,1,2,0,3,2,4,2,0,39,55,-9.123113389335494,False,IRON
23,9,7,3,1,3,0,2,4,2,0,55,58,-1.8274583736574925,False,IRON
24,4,8,0,1,1,0,0,4,2,0,33,47,-7.083045732517526,False,IRON
25,8,10,4,1,0,2,3,2,0,1,48,55,1.2419155109213236,False,IRON
26,1,9,0,2,0,0,1,3,0,2,20,35,-9.842809006511324,False,IRON
27,11,3,4,0,0,0,3,2,1,0,58,35,10.160363670131218,True,IRON
28,4,10,0,4,0,1,1,4,1,0,48,47,-5.892869750923367,False,IRON
