,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,2,2,0,1,0,2,1,1,1,36,15,12.659817049612968,True,GRANDMASTER
1,2,9,0,1,0,1,3,1,1,1,29,32,-1.8683671512242626,False,GRANDMASTER
2,3,7,0,1,0,1,1,2,0,2,21,36,-2.2162456541537523,False,GRANDMASTER
3,8,7,1,1,2,0,2,1,1,1,37,26,9.386107167564852,True,GRANDMASTER
4,11,3,3,0,2,0,2,1,1,1,32,16,6.664418423434917,True,GRANDMASTER
5,7,1,1,0,0,0,3,1,2,0,29,12,12.244371826129303,True,GRANDMASTER
6,6,7,1,1,2,0,3,1,2,0,36,35,2.7761984541808644,False,GRANDMASTER
7,11,1,3,0,1,0,3,0,2,0,32,18,5.166439699095548,True,GRANDMASTER
8,0,10,0,2,0,1,1,1,0,2,12,37,-15.307855450592534,False,GRANDMASTER
9,9,6,1,1,1,1,2,2,2,0,38,33,1.9332518970912105,True,GRANDMASTER
10,5,1,0,0,0,0,3,0,1,1,33,14,12.585262085088765,True,GRANDMASTER
11,8,7,1,2,3,0,4,2,1,1,46,38,0.045180751565254695,True,GRANDMASTER
12,8,3,0,0,2,0,4,0,1,1,39,25,10.093740214997212,True,GRANDMASTER
13,8,2,1,0,1,0,3,0,0,2,24,15,6.872719816242899,True,GRANDMASTER
14,10,1,2,0,1,0,2,1,2,0,35,18,10.369912506105912,True,GRANDMASTER
15,10,1,2,0,1,0,3,0,2,0,32,15,9.460644446190067,True,GRANDMASTER
16,2,10,0,2,0,1,1,2,0,2,24,33,-4.876594417336008,False,GRANDMASTER
17,11,1,4,0,2,0,2,2,2,0,41,21,7.431150922052566,True,GRANDMASTER
18,11,3,4,0,1,0,4,0,0,2,45,24,6.600948361798537,True,GRANDMASTER
19,5,9,0,1,0,2,3,1,1,1,34,40,-3.8363371193089364,False,GRANDMASTER
20,8,6,1,1,1,0,3,2,0,2,36,37,1.3813565115274855,True,GRANDMASTER
21,0,10,0,2,0,1,0,3,0,2,18,34,-8.029629360705549,False,GRANDMASTER
22,8,11,1,3,1,1,4,2,0,2,54,55,0.9555001044561919,False,GRANDMASTER
23,9,4,2,0,1,0,3,0,1,1,44,22,7.721959023612712,True,GRANDMASTER
24,2,8,0,1,0,1,1,2,1,1,15,24,-6.173710915890382,False,GRANDMASTER
25,3,11,0,4,1,1,3,3,2,0,38,44,1.2345696970055755,False,GRANDMASTER
26,3,10,0,2,0,1,0,4,2,0,18,40,-8.829521908585104,False,GRANDMASTER
27,0,10,0,1,1,0,0,3,0,2,19,34,-7.386963505386099,False,GRANDMASTER
28,10,4,2,0,1,1,3,1,1,1,29,23,2.1827535148976835,True,GRANDMASTER
29,8,3,1,0,2,0,3,1,1,1,24,23,-2.118919573775024,True,GRANDMASTER
30,2,11,0,3,0,1,1,2,1,0,21,29,-5.20968215019996,False,GRANDMASTER
31,3,11,0,3,0,2,1,2,2,0,18,22,0.1865788493631868,False,GRANDMASTER
32,6,8,1,1,0,2,2,2,2,0,32,46,-3.5209790097004543,False,GRANDMASTER
33,8,2,1,0,1,0,2,1,2,0,30,21,5.633087980124799,True,GRANDMASTER
