,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,8,0,1,1,2,4,0,2,0,37,44,-6.756568418369305,False,BRONZE
1,2,11,0,4,0,1,0,4,1,0,36,71,-9.314318085923531,False,BRONZE
2,8,4,2,0,0,1,1,3,2,0,31,30,1.4659392414512666,True,BRONZE
3,3,11,0,2,0,1,0,4,0,0,38,49,-4.161182594542353,False,BRONZE
4,8,3,1,0,1,0,2,2,1,1,41,32,6.199877103917736,True,BRONZE
5,10,11,1,4,1,0,4,2,1,0,44,38,3.161630865374839,True,BRONZE
6,2,5,0,0,0,1,0,3,0,2,15,31,-9.50598821339743,False,BRONZE
7,9,4,2,0,0,0,2,3,0,2,40,37,1.6390417624754576,True,BRONZE
8,10,3,2,0,0,0,3,1,1,1,47,28,10.182352753167493,True,BRONZE
9,6,3,0,0,1,0,2,1,0,1,28,24,2.1718234365888023,True,BRONZE
10,10,7,2,1,1,1,4,2,0,2,56,48,2.184571114080285,True,BRONZE
11,11,3,3,0,1,0,3,2,2,0,44,37,4.2359264727684405,True,BRONZE
12,7,5,0,0,1,0,3,2,2,0,38,16,13.290259268181998,True,BRONZE
13,0,11,0,3,0,0,1,2,0,2,19,32,-6.0506226415706905,False,BRONZE
14,11,4,4,0,1,0,4,1,1,1,37,37,5.629644148601656,True,BRONZE
15,3,8,0,1,0,0,0,3,0,1,13,24,-7.389994908348648,False,BRONZE
16,11,7,4,1,1,1,5,0,1,1,49,44,3.822112000910664,True,BRONZE
17,10,3,2,0,1,0,2,3,2,0,30,31,-1.4439257313221248,True,BRONZE
18,1,11,0,2,0,1,1,3,0,2,29,45,-5.708320303339988,False,BRONZE
19,3,9,0,2,1,0,4,0,0,1,38,37,1.8108880888206116,False,BRONZE
20,3,9,0,1,0,1,2,1,0,1,23,44,-5.08294829862524,False,BRONZE
21,3,11,0,3,0,2,1,4,2,0,30,51,-10.7939540707983,False,BRONZE
22,2,5,0,0,0,0,0,3,0,1,17,23,-8.198211407428047,False,BRONZE
23,4,1,0,0,0,0,1,2,0,1,30,18,5.201780872980436,True,BRONZE
24,8,10,3,2,1,1,3,4,2,0,45,65,-6.117605680660638,False,BRONZE
25,11,1,3,0,0,0,3,0,2,0,38,13,16.486394193787206,True,BRONZE
26,0,8,0,2,0,1,0,3,0,1,26,38,-5.24678961896722,False,BRONZE
27,6,1,0,0,0,0,3,0,2,0,27,13,6.400785128373684,True,BRONZE
28,7,10,1,1,1,2,3,3,1,0,29,40,-2.4723329600549064,False,BRONZE
29,10,7,3,1,0,1,4,1,1,0,40,33,4.194709083953214,True,BRONZE
30,2,4,0,1,0,0,0,0,0,0,47,65,-1.1094027812963319,False,BRONZE
31,6,10,0,2,1,1,2,3,2,0,38,39,-0.027679391423269806,False,BRONZE
32,7,0,1,0,1,0,2,0,1,1,30,13,7.703618789343103,True,BRONZE
33,9,1,1,0,1,0,4,0,1,0,52,24,7.4494314647854765,True,BRONZE
34,5,3,0,0,0,0,4,0,0,2,28,17,9.494647174373007,True,BRONZE
35,7,10,3,1,0,1,2,4,2,0,46,53,-1.7183469975458507,False,BRONZE
36,0,11,0,3,0,1,2,1,0,1,23,44,-11.433735320799407,False,BRONZE
