,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,1,2,0,1,0,2,1,1,1,36,20,7.365841033456981,True,GRANDMASTER
1,9,4,1,0,1,1,5,1,2,0,47,48,-0.46680392707623497,True,GRANDMASTER
2,7,0,1,0,1,0,2,1,2,0,38,13,13.820263225490116,True,GRANDMASTER
3,1,10,0,1,0,2,4,0,0,2,28,37,-0.24237850420121276,False,GRANDMASTER
4,10,3,3,0,1,0,2,2,2,0,25,18,2.2344135295700767,True,GRANDMASTER
5,8,1,1,0,1,0,2,1,2,0,26,10,13.118485134430777,True,GRANDMASTER
6,5,10,0,2,0,2,2,2,1,1,17,22,-4.851540583522436,False,GRANDMASTER
7,3,8,0,2,0,1,0,4,1,1,12,27,-9.482126711427718,False,GRANDMASTER
8,9,4,1,0,1,1,4,0,0,2,48,33,5.121114530817323,True,GRANDMASTER
9,1,6,0,0,0,1,1,2,0,2,12,24,-11.156461673984282,False,GRANDMASTER
10,11,1,3,0,1,0,1,2,2,0,39,20,12.369043827553249,True,GRANDMASTER
11,7,7,2,1,2,1,2,3,1,1,54,33,8.933803573441615,True,GRANDMASTER
12,0,11,0,1,0,1,1,2,0,2,12,36,-13.874644950968104,False,GRANDMASTER
13,5,9,0,2,0,1,1,1,0,2,21,27,-5.072802156988267,False,GRANDMASTER
14,9,4,2,0,2,0,3,1,0,2,34,14,9.001149947645906,True,GRANDMASTER
15,8,3,1,0,2,0,1,3,0,2,41,36,2.5499984888412612,True,GRANDMASTER
16,2,9,0,2,0,2,2,1,0,2,32,45,-3.245163505938649,False,GRANDMASTER
17,8,1,1,0,1,0,2,1,2,0,26,21,0.8022218190801027,True,GRANDMASTER
18,9,0,2,0,1,0,3,0,1,1,32,26,1.0292602364808943,True,GRANDMASTER
19,3,8,0,1,0,1,1,2,2,0,14,28,-4.8398922926521095,False,GRANDMASTER
20,2,9,0,2,0,2,0,3,1,1,18,39,-9.133352751306745,False,GRANDMASTER
21,3,10,0,2,0,1,2,2,0,2,27,27,0.08758187328214717,False,GRANDMASTER
22,10,2,2,0,2,0,1,4,1,1,48,33,6.224554700232019,True,GRANDMASTER
23,1,8,0,1,0,1,1,2,0,2,18,36,-10.664977730970506,False,GRANDMASTER
24,9,3,1,0,1,1,4,0,0,2,28,15,3.202516633132241,True,GRANDMASTER
25,8,3,1,0,1,0,3,0,2,0,33,21,6.632899140473249,True,GRANDMASTER
26,1,9,0,1,0,1,0,3,1,1,15,37,-10.284203024767244,False,GRANDMASTER
27,3,10,0,2,0,1,1,2,1,1,22,50,-14.296086097650921,False,GRANDMASTER
28,7,9,1,1,2,0,2,3,1,1,31,42,-5.524979144008732,False,GRANDMASTER
29,11,2,3,0,1,0,2,1,2,0,39,16,11.384762333845465,True,GRANDMASTER
30,10,1,2,0,1,0,3,1,2,0,23,15,2.2590164134900874,True,GRANDMASTER
31,6,9,1,1,0,1,2,2,1,1,37,38,-1.060053307048662,False,GRANDMASTER
32,3,9,0,1,0,1,2,1,0,2,25,28,-1.8200494631837572,False,GRANDMASTER
33,10,1,2,0,1,0,1,3,2,0,37,22,9.471756301514631,True,GRANDMASTER
