,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,0,11,0,3,0,1,0,4,0,2,21,27,-9.89941924732225,False,SILVER
1,4,10,0,2,0,1,0,4,0,2,17,33,-11.810217195976797,False,SILVER
2,2,11,0,3,0,1,0,3,1,1,19,38,-5.212653536488702,False,SILVER
3,11,4,3,0,1,1,2,2,0,0,40,31,1.2169942748040583,True,SILVER
4,4,2,1,1,0,0,0,0,0,0,57,47,4.05939596957537,True,SILVER
5,3,10,0,2,0,1,1,3,0,1,33,52,-8.580912711470283,False,SILVER
6,9,2,2,0,1,0,4,0,2,0,36,6,19.50611219242397,True,SILVER
7,3,10,0,2,0,1,0,4,0,2,22,45,-12.242508367130945,False,SILVER
8,7,2,2,0,1,0,4,0,1,1,45,32,4.514153093818159,True,SILVER
9,6,10,0,4,1,2,2,4,0,2,46,54,-1.7489027326778412,False,SILVER
10,9,3,2,0,1,0,4,0,0,2,52,20,15.079091916026762,True,SILVER
11,11,10,3,4,1,1,3,1,1,1,52,48,0.41652098367291046,False,SILVER
12,4,2,2,1,0,0,0,0,0,0,65,63,-1.303661415710863,True,SILVER
13,4,4,3,2,0,0,0,0,0,0,81,67,2.354486775977179,True,SILVER
14,1,4,0,2,0,0,0,0,0,0,71,59,0.2789292440694737,False,SILVER
15,4,2,3,2,0,0,0,0,0,0,77,69,1.5929810797113717,True,SILVER
16,4,4,1,1,0,0,0,0,0,0,74,64,2.572350254904755,True,SILVER
17,4,1,2,0,0,0,0,0,0,0,78,71,1.1573323617272422,True,SILVER
18,2,4,3,3,0,0,0,0,0,0,73,70,-0.5107641209499576,False,SILVER
