,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,2,1,2,3,4,0,1,57,60,-1.4926850813654653,False,DIAMOND
1,11,3,4,0,0,2,2,2,0,0,42,50,-2.727757439765334,True,DIAMOND
2,10,2,2,0,1,0,2,2,1,0,37,32,4.708465782196079,True,DIAMOND
3,2,9,0,2,0,0,0,3,0,2,20,52,-9.201096731450669,False,DIAMOND
4,7,8,1,2,1,2,3,2,1,1,43,54,-3.438517737341556,True,DIAMOND
5,8,5,1,0,1,0,2,2,1,1,45,52,-4.118828014387766,True,DIAMOND
6,11,0,3,0,0,0,3,0,1,1,49,26,6.964707277278698,True,DIAMOND
7,4,7,0,1,0,1,0,4,2,0,31,47,-5.914128416743985,False,DIAMOND
8,6,11,1,3,0,2,1,4,1,1,48,49,1.0037935431884009,False,DIAMOND
9,11,3,3,0,2,0,3,1,2,0,39,28,4.740851503906022,True,DIAMOND
10,0,7,0,1,0,1,0,3,0,2,19,28,-5.447760772487008,False,DIAMOND
11,10,2,3,0,1,0,2,2,1,1,31,24,4.797269705482471,True,DIAMOND
12,3,8,0,1,0,0,1,2,0,2,20,33,-5.636134101896246,False,DIAMOND
13,9,3,3,0,0,1,4,1,1,0,42,43,-0.5387041345671904,True,DIAMOND
14,8,5,1,0,1,0,3,0,1,1,43,33,7.262646729620684,True,DIAMOND
15,8,4,1,0,1,0,4,0,1,1,40,27,6.340466708339889,True,DIAMOND
16,3,9,0,2,0,2,3,2,0,2,25,37,-7.449040815449919,False,DIAMOND
17,0,10,0,2,0,1,1,2,1,1,15,36,-8.277803250015971,False,DIAMOND
18,10,4,2,0,1,0,3,1,1,0,40,27,9.248971818806766,True,DIAMOND
19,4,11,0,3,0,1,1,3,2,0,21,31,-4.671996083074774,False,DIAMOND
20,9,4,3,0,1,1,3,2,2,0,37,38,-4.9785383906441325,True,DIAMOND
21,4,1,3,0,0,0,0,0,0,0,84,85,1.129359077709907,True,DIAMOND
22,4,3,0,0,0,1,1,2,1,0,31,37,-6.69513104452701,False,DIAMOND
23,2,11,0,3,0,2,2,2,0,2,29,44,-6.62074437307551,False,DIAMOND
24,4,3,2,1,0,0,0,0,0,0,85,89,0.7791399425856582,True,DIAMOND
25,6,11,1,6,0,2,2,2,1,1,26,36,-5.8493720431952525,False,DIAMOND
26,11,1,3,0,1,0,3,0,2,0,34,14,9.386542390495258,True,DIAMOND
