,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,4,1,0,1,0,4,0,2,0,38,28,7.213988173842679,True,BRONZE
1,2,9,0,2,0,1,0,3,0,1,14,36,-17.23452652101159,False,BRONZE
2,7,10,0,1,1,1,2,3,1,1,38,46,-3.107178097040091,False,BRONZE
3,10,5,1,0,1,0,2,3,2,0,34,33,1.1759070860264487,True,BRONZE
4,11,4,4,0,0,1,4,1,0,2,38,18,9.79552260379981,True,BRONZE
5,4,11,0,4,0,2,1,4,0,1,38,58,-6.990465841928746,False,BRONZE
6,9,6,3,1,1,0,4,2,0,2,52,37,4.419872043278666,True,BRONZE
7,10,3,2,0,1,0,3,1,1,1,36,33,0.8791395716357968,True,BRONZE
8,3,8,0,1,0,1,1,2,1,1,19,39,-12.038218077843897,False,BRONZE
9,7,11,2,4,0,2,4,2,0,1,46,38,-2.496968331326201,False,BRONZE
10,9,5,1,0,1,1,2,4,1,1,51,39,7.415647542928902,True,BRONZE
11,5,3,0,0,0,0,3,0,1,1,28,21,5.419909791760453,True,BRONZE
12,10,2,2,0,1,0,4,0,2,0,42,25,11.053067853688958,True,BRONZE
13,3,11,0,3,0,0,2,3,2,0,26,41,-2.4981127488215122,False,BRONZE
14,9,7,2,2,0,0,1,5,1,1,25,45,-9.793780591390355,False,BRONZE
15,9,8,2,1,1,1,2,4,0,2,40,49,-4.053339841832958,False,BRONZE
16,1,9,0,1,0,1,0,5,1,0,21,28,-3.917222992146094,False,BRONZE
17,11,5,3,0,1,0,4,0,1,1,39,24,5.622526246630677,True,BRONZE
18,1,11,0,3,0,0,1,3,0,2,34,45,-0.2701989223388921,False,BRONZE
