,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,9,0,2,0,1,0,4,0,2,17,34,-9.808247585198195,False,DIAMOND
1,8,4,1,0,1,0,2,2,1,1,26,10,14.745311189222313,True,DIAMOND
2,2,10,0,2,0,0,1,3,0,1,29,48,-4.86033902208753,False,DIAMOND
3,2,7,0,1,0,1,2,1,1,1,29,28,-0.11631657749585145,False,DIAMOND
4,4,10,0,2,0,1,0,4,0,2,21,42,-9.485898567558046,False,DIAMOND
5,5,8,0,3,0,2,1,4,2,0,29,44,-4.412079622803162,False,DIAMOND
6,3,11,0,3,1,1,1,4,0,1,38,34,2.3585076849136613,False,DIAMOND
7,9,7,3,1,2,1,3,2,2,0,42,39,1.0905343091733357,False,DIAMOND
8,8,3,1,0,1,0,2,1,1,1,44,21,10.181788579308567,True,DIAMOND
9,8,4,1,0,2,0,2,2,0,2,41,29,5.480373076834624,True,DIAMOND
10,7,4,1,0,1,0,3,1,0,1,42,32,5.103688819507298,True,DIAMOND
11,3,10,0,2,0,2,1,4,0,2,26,43,-6.609131341267329,False,DIAMOND
12,9,0,1,0,1,0,2,2,1,1,33,16,12.533784406283644,True,DIAMOND
13,6,5,0,0,1,1,1,3,1,1,25,30,-2.456620432170766,False,DIAMOND
14,5,9,0,1,0,1,1,3,2,0,37,30,5.766957216610699,False,DIAMOND
15,3,8,0,1,0,1,0,3,1,1,18,31,-5.56722811382167,False,DIAMOND
16,3,11,0,1,0,2,2,2,1,1,20,32,-6.662155827085378,False,DIAMOND
17,3,9,0,1,0,1,1,2,2,0,16,26,-4.343547881981635,False,DIAMOND
18,7,5,0,0,1,1,3,1,1,1,41,49,-1.738450907068433,False,DIAMOND
19,9,0,1,0,1,0,2,0,2,0,27,13,9.623265319922645,True,DIAMOND
20,9,2,2,0,1,0,2,1,2,0,31,16,7.997018504689677,True,DIAMOND
21,3,9,0,2,0,2,0,4,0,2,28,37,-5.702563718584543,False,DIAMOND
22,8,2,1,0,1,0,2,2,2,0,32,17,10.36131302625337,True,DIAMOND
23,5,1,0,0,1,0,1,2,0,1,28,17,7.622317218475089,True,DIAMOND
24,2,8,0,1,0,1,1,2,1,1,23,30,-4.086186299821804,False,DIAMOND
25,7,6,0,0,1,1,4,1,2,0,43,28,5.183859908731691,True,DIAMOND
26,2,11,0,4,0,1,1,3,0,2,9,34,-14.515655003186072,False,DIAMOND
27,7,8,0,1,1,2,2,4,1,1,30,42,0.11806064404954242,False,DIAMOND
28,6,7,1,1,0,1,3,1,0,2,30,30,-3.1716311734553244,False,DIAMOND
29,8,5,2,0,2,0,3,0,2,0,42,17,5.991405893416797,True,DIAMOND
30,5,10,0,2,1,2,3,3,2,0,50,54,-1.5162067779747304,False,DIAMOND
31,3,11,0,1,0,1,1,3,1,1,35,28,5.86748922144092,False,DIAMOND
32,8,10,0,4,0,2,4,1,2,0,28,49,-8.786010968402756,False,DIAMOND
33,2,11,0,3,0,1,2,2,0,2,31,26,0.6342441259464522,False,DIAMOND
34,10,1,2,0,1,0,3,0,2,0,39,18,12.943105073727839,True,DIAMOND
35,8,9,1,2,0,2,4,1,2,0,50,57,0.4022499465757505,False,DIAMOND
36,2,8,0,1,0,1,0,3,0,1,17,31,-6.360754397951631,False,DIAMOND
