,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,7,1,1,2,1,5,2,0,2,90,65,0.6023611158097495,True,SILVER
1,1,9,0,2,0,1,0,2,1,1,13,35,-17.529676007219134,False,SILVER
2,11,4,3,0,1,1,4,1,2,0,49,45,1.828657233375992,True,SILVER
3,8,6,1,1,1,0,3,0,2,0,38,23,6.081868727193687,True,SILVER
4,2,11,0,4,0,1,1,2,1,0,22,29,-5.355335019308448,False,SILVER
5,9,1,1,0,0,0,4,0,0,2,29,17,8.514824998130102,True,SILVER
6,2,9,0,1,0,0,3,1,1,1,34,37,-3.7459708256512982,False,SILVER
7,9,8,1,4,2,0,2,4,0,1,42,39,3.0086218275394856,True,SILVER
8,10,2,2,0,1,0,1,3,2,0,34,30,3.791260446870517,True,SILVER
9,9,6,1,1,1,1,5,0,0,1,52,27,12.40626389632682,True,SILVER
10,7,10,0,2,0,2,2,4,2,0,45,49,3.5815202969092326,False,SILVER
11,3,3,0,0,0,0,3,0,1,1,30,23,5.81093273101304,True,SILVER
12,1,11,0,5,0,1,1,4,1,1,36,52,-8.53949254717535,False,SILVER
13,9,4,2,0,1,0,3,1,0,1,64,29,14.061084121918167,True,SILVER
14,5,1,0,0,0,0,3,1,1,0,24,15,4.934495516664192,True,SILVER
15,11,6,3,0,0,0,3,4,0,1,47,54,0.07853078604686914,True,SILVER
16,4,9,0,1,0,0,0,4,1,0,29,44,-3.7805195847917688,False,SILVER
17,11,6,1,0,2,0,4,2,1,1,56,29,7.446396045271165,True,SILVER
18,3,1,0,0,0,0,3,0,0,1,30,21,8.609622240695671,True,SILVER
19,5,5,0,0,0,0,1,1,0,1,32,15,10.840662663043304,True,SILVER
20,1,11,0,3,0,0,1,3,1,1,27,73,-12.057506588144363,False,SILVER
21,9,8,2,2,0,2,2,3,1,0,29,45,-9.960144960912928,False,SILVER
22,7,6,1,0,1,0,4,1,1,1,34,26,10.45957497785961,True,SILVER
23,5,2,0,0,0,0,3,0,0,1,35,18,10.357184688132115,True,SILVER
24,2,10,0,2,0,1,1,2,1,0,12,30,-12.725410292746744,False,SILVER
25,0,9,0,2,0,0,0,2,0,2,16,37,-12.760121109631363,False,SILVER
26,5,9,0,3,0,2,0,5,2,0,41,54,-2.1812747276564863,False,SILVER
27,3,11,0,4,0,1,0,4,0,2,27,46,-7.625477780744646,False,SILVER
28,4,11,0,3,0,1,1,3,0,1,26,47,-7.340637873673952,False,SILVER
29,1,11,0,4,0,1,1,3,2,0,26,44,-11.81880819927261,False,SILVER
30,9,4,2,0,3,0,3,3,0,1,71,56,6.167961040804869,True,SILVER
31,11,5,5,0,2,0,3,1,1,1,35,33,-2.190153955347924,True,SILVER
32,3,7,0,1,0,1,0,4,2,0,25,33,-3.7519561773221497,False,SILVER
33,8,8,1,2,2,0,3,1,1,1,35,22,5.3395534912047395,True,SILVER
34,5,1,1,0,0,0,0,3,1,1,21,14,8.973779766436515,True,SILVER
35,9,11,2,4,1,1,3,3,0,1,45,43,6.54117037178964,False,SILVER
36,8,2,1,0,1,0,3,1,1,1,40,31,2.9413757384848367,True,SILVER
37,2,9,0,1,0,0,3,1,0,1,32,41,-2.4361040591070164,False,SILVER
