,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,10,0,2,0,0,1,1,1,1,22,27,-0.021612799372306313,False,PLATINUM
1,10,1,2,0,1,0,3,0,1,0,33,24,6.350746724052897,True,PLATINUM
2,4,9,0,2,0,1,0,3,2,0,17,39,-10.735901394138722,False,PLATINUM
3,2,11,0,1,0,1,2,1,1,1,15,24,-5.838991779551847,False,PLATINUM
4,9,2,2,0,0,1,4,1,2,0,50,36,1.046865280666907,True,PLATINUM
5,11,2,3,0,0,0,2,0,2,0,32,26,5.323591517324374,True,PLATINUM
6,8,2,1,0,0,0,1,2,1,1,27,12,11.362420334819795,True,PLATINUM
7,6,10,0,1,1,1,2,3,1,1,19,34,-8.334612323782629,False,PLATINUM
8,8,4,1,0,1,0,2,1,2,0,42,29,9.967796449032214,True,PLATINUM
9,9,10,2,1,0,1,0,4,1,1,24,50,-10.596346168062482,False,PLATINUM
10,9,2,1,0,1,0,2,2,2,0,48,28,9.842808204401152,True,PLATINUM
11,2,4,2,1,0,0,0,0,0,0,70,64,0.4186023840876061,False,PLATINUM
12,4,2,2,2,0,0,0,0,0,0,80,79,1.3596990225204308,True,PLATINUM
13,4,2,2,1,0,0,0,0,0,0,74,71,4.341905145037778,True,PLATINUM
14,2,4,1,2,0,0,0,0,0,0,51,68,0.048675672814574966,False,PLATINUM
15,4,4,1,2,0,0,0,0,0,0,51,64,-3.883665627440344,False,PLATINUM
16,1,3,0,1,0,0,0,0,0,0,57,84,-6.495062892346773,False,PLATINUM
17,2,4,3,2,0,0,0,0,0,0,65,75,-3.2749813378788417,False,PLATINUM
18,4,4,3,2,0,0,0,0,0,0,64,56,-0.6585810376976866,False,PLATINUM
19,3,4,1,1,0,0,0,0,0,0,89,70,3.4233403756690564,False,PLATINUM
20,7,9,1,2,0,2,4,2,1,0,52,41,1.9648827619689015,False,PLATINUM
