,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,5,0,2,0,5,2,0,54,76,-4.587462996796177,False,BRONZE
1,4,9,0,2,0,1,1,2,2,0,27,42,-4.714560328338727,False,BRONZE
2,3,6,0,0,1,0,0,5,0,2,39,42,-0.45551334002416155,False,BRONZE
3,5,7,1,1,0,0,2,3,0,2,26,29,-3.007395970992917,False,BRONZE
4,10,5,2,0,1,0,2,2,1,1,40,10,17.87572316349193,True,BRONZE
5,8,11,1,3,1,1,3,3,0,2,28,35,-3.512615182786682,False,BRONZE
6,11,3,3,0,1,0,3,2,1,1,51,26,13.235818561960809,True,BRONZE
7,2,11,0,4,1,1,0,5,2,0,33,51,-6.2331187205218725,False,BRONZE
8,9,1,1,0,0,0,3,0,1,1,44,27,7.250666673555344,True,BRONZE
9,9,3,1,0,1,0,4,1,1,0,46,28,4.170710957975196,True,BRONZE
10,4,11,0,1,0,1,2,2,1,0,30,37,-3.596481746603054,False,BRONZE
11,6,11,0,4,0,2,2,5,2,0,46,54,-4.08932007082641,False,BRONZE
12,6,10,0,2,0,1,2,3,0,2,45,49,-1.761621928525365,False,BRONZE
13,2,5,0,0,0,0,2,2,0,1,27,33,-9.87728562279014,False,BRONZE
14,9,4,2,0,1,0,2,3,0,0,47,28,10.438217170523338,True,BRONZE
15,6,4,1,0,0,0,2,0,1,1,22,23,3.9889530355223215,True,BRONZE
16,9,2,1,0,1,0,3,2,2,0,44,35,2.0410277231370415,True,BRONZE
17,11,3,3,0,0,0,4,0,2,0,48,22,13.402387484493005,True,BRONZE
18,0,10,0,1,0,0,2,2,0,1,22,41,-11.422995518712504,False,BRONZE
19,10,0,2,0,1,0,4,0,2,0,45,17,16.600177007419873,True,BRONZE
20,2,11,0,3,0,0,1,2,1,1,28,27,-1.138065034056524,False,BRONZE
21,4,11,0,3,0,2,1,4,0,0,31,48,-8.957716315826438,False,BRONZE
22,3,9,0,1,0,1,1,3,0,2,21,42,-10.367927315519402,False,BRONZE
23,1,11,0,3,0,1,0,4,1,1,17,48,-13.105492654273771,False,BRONZE
24,3,4,0,0,0,0,0,2,1,0,24,44,-7.712134871510969,False,BRONZE
25,8,9,1,3,1,1,2,2,1,0,42,35,0.7703430812651106,False,BRONZE
26,2,11,0,3,0,1,0,3,2,0,29,31,-4.827894137049967,False,BRONZE
27,4,11,0,5,0,1,2,4,0,2,67,74,-0.6030249329581139,False,BRONZE
28,6,3,0,0,0,0,0,3,0,1,48,35,0.819922357129677,True,BRONZE
29,11,3,2,0,1,0,2,2,1,0,51,32,4.816773030097352,True,BRONZE
30,10,1,3,0,0,0,2,0,0,1,46,15,12.895941652432132,True,BRONZE
31,3,10,0,2,0,0,2,1,0,2,14,26,-8.864457670753119,False,BRONZE
32,6,11,0,4,0,1,1,4,0,1,41,46,0.561161817640567,False,BRONZE
33,9,3,1,0,1,0,3,1,1,1,29,15,15.226712865621437,True,BRONZE
34,7,5,1,1,1,1,3,2,0,2,51,37,3.2589504226154773,True,BRONZE
35,4,9,0,1,1,1,2,3,0,2,43,45,-3.138846417799435,False,BRONZE
36,5,9,2,1,0,1,2,2,2,0,23,32,-3.6689933178586003,False,BRONZE
37,2,7,0,1,0,0,1,2,0,2,17,21,-4.219807122578835,False,BRONZE
38,2,7,0,1,0,1,0,3,0,2,15,17,-5.059108492219167,False,BRONZE
39,1,10,0,2,0,1,0,4,0,1,29,27,-0.11518724247416401,False,BRONZE
40,10,9,4,4,2,2,5,3,2,0,56,51,3.8914259205397386,True,BRONZE
41,8,5,1,0,1,0,3,0,0,2,42,25,10.938932731731235,True,BRONZE
