,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,6,0,0,0,1,0,3,1,0,19,27,-6.131477458932501,False,GOLD
1,3,5,0,0,0,0,0,3,1,1,25,32,0.05225047123909121,False,GOLD
2,7,7,1,2,0,1,2,3,1,1,35,43,-6.638067340150826,False,GOLD
3,9,6,1,1,1,0,5,0,1,0,44,40,2.953017175232219,True,GOLD
4,5,1,0,0,0,0,3,0,2,0,24,13,7.175247820495002,True,GOLD
5,4,3,0,0,1,0,1,2,2,0,29,27,1.7479367483735828,True,GOLD
6,11,2,3,0,0,0,2,3,2,0,46,42,-1.9021690448513482,True,GOLD
7,11,2,2,0,1,0,4,0,1,1,42,31,8.25281041151274,True,GOLD
8,0,9,0,2,0,0,2,2,1,1,14,42,-14.772621955664576,False,GOLD
9,9,8,1,0,1,1,4,1,2,0,41,45,-4.142800551522413,True,GOLD
10,7,7,2,1,0,1,2,2,0,1,22,45,-9.52248136734648,False,GOLD
11,9,3,2,0,1,0,3,1,2,0,25,12,6.52132680609116,True,GOLD
12,7,4,0,0,1,0,4,0,2,0,37,21,7.9996937345978125,True,GOLD
13,7,9,0,1,0,1,2,2,2,0,33,41,-4.637754957471657,False,GOLD
14,11,2,3,0,0,0,3,1,2,0,36,14,9.818015313620933,True,GOLD
15,11,1,3,0,0,0,3,0,2,0,32,18,8.654280122044618,True,GOLD
16,2,2,1,2,0,0,0,0,0,0,45,71,-4.4205043436076465,False,GOLD
17,4,2,3,1,0,0,0,0,0,0,67,65,0.8206463852839789,True,GOLD
18,11,2,4,0,1,0,5,0,1,1,50,27,7.358790168238393,True,GOLD
19,4,2,3,1,0,0,0,0,0,0,77,68,-0.9213786583925483,True,GOLD
20,2,10,0,2,0,1,1,2,1,1,11,31,-16.02004205558343,False,GOLD
21,2,10,0,2,0,1,1,2,1,0,10,33,-16.262202357379987,False,GOLD
22,10,6,2,0,1,1,5,1,1,1,41,32,9.033536285890428,True,GOLD
23,5,10,0,2,0,2,3,2,2,0,49,48,4.22130639169206,False,GOLD
24,9,7,3,1,0,1,1,4,0,1,39,35,4.445334646191306,True,GOLD
