,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,6,11,1,2,1,0,2,3,2,0,40,50,-6.440991488140682,False,SILVER
1,3,9,0,2,0,1,2,2,0,2,7,26,-10.579299538967135,False,SILVER
2,11,0,3,0,0,0,3,0,1,1,39,15,10.755053331702925,True,SILVER
3,10,4,2,0,1,0,4,0,1,1,41,26,6.329714063877063,True,SILVER
4,8,8,1,2,0,2,3,3,1,1,24,33,-7.912084383788596,False,SILVER
5,11,2,2,0,1,0,4,0,2,0,38,16,12.76145972421947,True,SILVER
6,3,11,0,3,0,1,1,3,1,1,22,39,-7.130864229449003,False,SILVER
7,9,8,1,3,2,0,2,4,0,2,51,48,-5.383133356919117,True,SILVER
8,1,11,0,3,0,1,0,3,1,1,14,33,-13.113158538643102,False,SILVER
9,2,11,0,3,0,0,0,4,2,0,10,21,-11.049392846994664,False,SILVER
10,11,1,3,0,1,0,4,0,1,1,32,28,0.7788888970490859,True,SILVER
11,5,11,0,3,0,2,2,3,0,1,19,41,-4.700655283212967,False,SILVER
12,3,10,0,1,0,1,1,2,0,1,13,34,-11.518774103327019,False,SILVER
13,9,5,2,0,0,0,1,2,0,0,28,48,-5.185563674050826,True,SILVER
14,3,10,0,2,0,0,1,4,2,0,16,28,-6.188353560678969,False,SILVER
15,0,11,0,2,0,1,0,4,0,1,22,39,-5.559909079314174,False,SILVER
16,9,9,2,5,0,2,4,2,0,2,59,47,2.5335204011997803,True,SILVER
17,1,11,0,3,0,1,3,1,0,1,18,38,-12.12456662613993,False,SILVER
18,2,11,0,4,0,1,1,3,1,1,29,55,-9.267912826517382,False,SILVER
19,6,1,0,0,0,0,2,1,1,1,22,16,4.56090703225486,True,SILVER
20,9,4,1,0,0,1,3,1,1,0,45,36,2.9881052604063996,True,SILVER
21,8,5,2,0,0,1,4,1,2,0,48,31,2.731779683668101,True,SILVER
22,3,8,0,3,0,1,3,2,1,1,30,33,-5.981127130580411,False,SILVER
23,6,9,0,1,0,1,2,2,1,1,32,26,-1.584670405142731,False,SILVER
24,2,7,0,1,0,0,2,2,0,2,23,39,-8.941152101792149,False,SILVER
25,10,4,3,0,1,0,3,1,2,0,30,14,8.833315032030434,True,SILVER
26,4,8,0,2,0,0,0,4,0,2,15,29,-9.614806885180634,False,SILVER
27,7,11,1,3,0,2,1,5,1,0,56,52,-0.9790539668187961,False,SILVER
28,11,9,4,1,1,1,3,4,1,0,39,46,-0.216647976626426,False,SILVER
29,11,5,4,0,2,0,3,2,1,1,51,38,6.34860781953784,True,SILVER
30,2,11,0,3,1,0,3,2,0,2,23,33,-6.095519767394904,False,SILVER
31,10,3,1,0,1,0,3,0,2,0,30,19,4.881788945871392,True,SILVER
32,7,3,1,0,2,0,5,0,1,0,33,21,5.121207711679737,True,SILVER
33,9,11,2,3,0,2,2,3,1,0,46,53,-2.4937733236160966,False,SILVER
34,5,11,0,4,2,1,2,4,1,1,44,45,-2.654864038930704,False,SILVER
35,3,10,0,2,0,0,2,2,0,0,22,39,-6.973329752204982,False,SILVER
36,6,2,0,0,1,0,4,0,2,0,30,24,2.577943275376178,True,SILVER
37,2,10,0,4,0,1,1,4,0,2,25,44,-6.511455714570914,False,SILVER
38,10,6,3,0,2,0,5,1,2,0,45,41,2.313260608869456,True,SILVER
39,10,4,2,0,1,0,3,1,1,1,44,29,3.002128606213759,True,SILVER
40,11,4,4,0,1,0,4,0,2,0,42,22,13.748571440129318,True,SILVER
41,8,2,1,0,0,0,3,1,1,0,34,20,8.983418941031871,True,SILVER
