,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,11,0,2,1,0,0,3,0,1,17,29,-6.538149001283493,False,PLATINUM
1,6,1,0,0,0,0,3,1,1,1,16,4,14.217626855841036,True,PLATINUM
2,3,10,0,2,2,0,4,1,1,0,41,29,-1.0710587457988368,False,PLATINUM
3,2,10,0,1,0,1,1,3,1,1,36,44,0.028367818537894607,False,PLATINUM
4,4,11,0,4,0,2,0,5,2,0,24,36,-8.127466845825921,False,PLATINUM
5,8,10,2,2,1,1,4,1,2,0,31,33,-5.201132535714066,False,PLATINUM
6,8,3,1,0,1,0,3,1,1,0,35,14,5.861872216685946,True,PLATINUM
7,3,11,0,3,1,1,1,3,1,1,18,41,-12.42910807129045,False,PLATINUM
8,11,2,3,0,1,0,3,1,0,1,39,21,7.313990898976009,True,PLATINUM
9,0,7,0,1,0,1,1,2,0,1,15,21,-7.773057586621704,False,PLATINUM
10,10,2,2,0,1,0,3,0,2,0,33,16,7.95858106515211,True,PLATINUM
11,9,1,3,0,1,0,2,2,1,1,28,20,10.822114674812298,True,PLATINUM
12,8,5,1,1,2,0,3,1,0,1,34,25,0.3145256200518105,True,PLATINUM
13,6,2,1,0,1,0,2,2,2,0,32,19,8.547529684576055,True,PLATINUM
14,4,9,0,3,0,1,1,4,2,0,15,29,-7.356440788935174,False,PLATINUM
15,11,4,3,0,2,0,4,0,1,1,42,15,14.24065392777866,True,PLATINUM
16,11,5,3,0,1,0,4,1,0,2,40,14,13.512857627313856,True,PLATINUM
17,1,10,0,2,0,1,1,2,0,1,23,29,-2.3793505164556947,False,PLATINUM
18,9,3,2,0,2,0,1,3,2,0,31,20,3.9199536282172573,True,PLATINUM
19,7,3,1,0,1,0,2,2,1,0,38,24,11.096692613311077,True,PLATINUM
20,8,2,2,0,1,0,3,2,1,0,52,25,12.600332450377987,True,PLATINUM
21,1,4,0,2,0,0,0,0,0,0,48,52,0.24678002593141457,False,PLATINUM
22,2,4,0,1,0,0,0,0,0,0,70,57,5.462662189446078,False,PLATINUM
23,1,4,0,2,0,0,0,0,0,0,50,42,1.1677808292058032,False,PLATINUM
24,4,1,2,0,0,0,0,0,0,0,79,45,5.454901966019989,True,PLATINUM
25,1,4,0,2,0,0,0,0,0,0,70,65,0.910545713885611,False,PLATINUM
26,2,4,0,1,0,0,0,0,0,0,77,69,1.1677651208705484,False,PLATINUM
27,5,3,0,0,0,1,3,1,0,1,29,18,4.842250645357005,True,PLATINUM
28,4,5,0,0,1,0,1,4,2,0,44,52,-5.5946800915236565,False,PLATINUM
29,6,2,0,0,1,0,3,0,2,0,29,7,14.792279765944244,True,PLATINUM
