,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,9,0,1,0,1,0,3,0,2,16,26,-1.6423858349492804,False,PLATINUM
1,6,5,1,0,0,1,2,2,0,2,26,23,2.9572828198035808,True,PLATINUM
2,8,3,1,0,1,0,1,4,1,1,33,26,3.5105707863690157,True,PLATINUM
3,0,9,0,2,0,1,0,3,0,1,11,24,-9.64069933212506,False,PLATINUM
4,8,3,1,0,1,0,1,1,1,0,43,23,10.331448358712557,True,PLATINUM
5,1,8,0,2,0,0,2,2,1,0,21,38,-11.334288538054345,False,PLATINUM
6,8,8,2,2,1,0,4,1,0,2,46,21,7.41445405057209,True,PLATINUM
7,4,9,0,2,0,2,1,3,2,0,26,34,-5.130774836513993,False,PLATINUM
8,11,3,3,0,2,0,4,1,1,1,48,27,7.87550744334056,True,PLATINUM
9,8,7,1,1,0,2,1,3,0,2,49,40,5.205525722308522,True,PLATINUM
10,7,7,1,1,1,1,2,3,0,2,40,29,7.681441695058012,True,PLATINUM
11,10,6,4,1,2,0,4,3,1,0,74,51,1.754211937937761,True,PLATINUM
12,6,10,1,3,1,1,3,1,1,0,40,51,-5.371412016431613,False,PLATINUM
13,1,11,0,3,0,1,0,3,1,1,11,36,-17.278569934765724,False,PLATINUM
14,5,2,0,0,0,1,0,4,0,2,27,41,-6.323921308400109,False,PLATINUM
15,1,11,0,3,0,1,1,2,1,1,18,39,-11.681936061515401,False,PLATINUM
16,9,2,1,0,1,0,3,1,1,1,47,27,8.649502602978785,True,PLATINUM
17,1,11,0,2,0,2,0,4,0,1,22,36,-6.327861534893586,False,PLATINUM
18,3,7,0,1,0,1,0,4,0,0,23,29,-6.022485589124834,False,PLATINUM
19,5,7,0,0,1,0,2,2,0,1,41,41,3.3770074332256,True,PLATINUM
20,3,9,0,2,1,0,1,3,1,1,30,45,-5.733467195623376,False,PLATINUM
21,2,9,0,1,0,0,1,2,0,2,10,32,-12.28844341325535,False,PLATINUM
22,8,6,1,0,1,1,2,2,2,0,49,42,3.3874019385194174,True,PLATINUM
23,9,7,2,0,1,1,2,3,0,2,52,56,-1.3325645789396887,True,PLATINUM
24,7,11,2,4,0,1,3,3,1,0,63,54,-1.5868223383822198,False,PLATINUM
25,7,1,1,0,1,0,2,2,2,0,37,22,7.432124481722198,True,PLATINUM
26,9,3,2,0,1,0,2,1,2,0,43,13,14.095562226187202,True,PLATINUM
27,9,9,3,1,2,2,2,5,1,0,60,68,-1.4623445432986202,False,PLATINUM
28,3,4,0,0,1,0,4,0,1,1,44,31,6.495707478154344,True,PLATINUM
29,10,0,3,0,0,0,3,0,1,0,41,17,9.892446070309312,True,PLATINUM
30,2,1,0,0,0,0,1,1,1,0,20,10,13.396725667277945,True,PLATINUM
31,9,3,1,0,0,0,4,0,1,1,49,27,7.809163928701675,True,PLATINUM
32,8,1,1,0,2,0,4,1,2,0,37,25,9.544898164261767,True,PLATINUM
33,9,5,1,0,2,0,3,1,1,0,36,23,8.355327705513353,True,PLATINUM
34,11,5,5,0,1,1,3,2,0,2,37,32,1.886540040595591,True,PLATINUM
35,5,8,0,1,1,0,3,2,0,1,37,40,-2.343872656430534,False,PLATINUM
36,0,10,0,2,0,1,1,2,1,1,25,43,-9.33944484633281,False,PLATINUM
