,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,4,0,2,0,0,0,0,0,0,61,61,3.2606861024216443,False,GOLD
1,4,2,2,1,0,0,0,0,0,0,58,63,0.8899599029434739,True,GOLD
2,7,4,2,0,2,0,1,4,0,2,47,37,4.9012834125634726,True,GOLD
3,3,4,2,2,0,0,0,0,0,0,68,72,-2.003114394484271,False,GOLD
4,4,2,1,2,0,0,0,0,0,0,60,49,2.183891424350712,True,GOLD
5,8,6,1,0,2,1,5,1,2,0,44,36,1.7216054547531527,True,GOLD
6,0,4,0,1,0,0,0,0,0,0,64,62,1.0150307811718875,False,GOLD
7,4,4,1,2,0,0,0,0,0,0,88,69,2.877069482372079,True,GOLD
8,4,4,3,2,0,0,0,0,0,0,94,81,2.8679761814099223,False,GOLD
9,4,2,2,1,0,0,0,0,0,0,58,49,0.5253515291906226,True,GOLD
10,4,0,3,0,0,0,0,0,0,0,91,72,7.060886762670485,True,GOLD
11,4,2,2,1,0,0,0,0,0,0,71,67,2.3743160850553764,True,GOLD
12,4,2,2,1,0,0,0,0,0,0,77,76,2.3118610143346103,True,GOLD
13,1,4,0,2,0,0,0,0,0,0,49,55,0.5452908374273875,False,GOLD
14,4,1,3,0,0,0,0,0,0,0,81,73,1.669223324475091,True,GOLD
15,2,4,1,3,0,0,0,0,0,0,69,90,-6.5447720462966075,False,GOLD
