,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,5,2,0,0,2,5,0,2,0,45,40,3.6461572103866047,True,IRON
1,5,8,0,1,0,1,2,2,0,2,31,37,2.532587620121788,False,IRON
2,10,1,2,0,1,0,3,1,2,0,37,21,10.410372726214582,True,IRON
3,11,1,3,0,1,0,3,0,1,0,44,22,8.443255687559919,True,IRON
4,4,10,0,2,0,0,3,1,0,2,28,26,-6.7273388895251145,False,IRON
5,11,1,4,0,0,0,4,1,1,0,32,24,4.52399292280721,True,IRON
6,2,8,0,1,0,0,0,3,0,1,13,36,-15.713818654312927,False,IRON
7,3,11,0,1,0,1,0,4,0,2,41,59,-4.748131650559536,False,IRON
8,11,1,3,0,2,0,3,2,1,1,46,29,6.035871259532954,True,IRON
9,8,8,1,2,0,1,4,2,1,1,53,57,-3.0238375136719853,False,IRON
10,2,11,0,2,0,1,3,2,0,2,35,50,-4.908301173644574,False,IRON
11,7,9,0,1,0,1,1,3,1,1,38,46,-3.0435303249580485,False,IRON
12,9,8,2,0,0,1,1,3,2,0,36,38,0.8469000816982302,True,IRON
13,6,11,0,3,0,1,1,4,1,1,37,47,-6.130981330702255,False,IRON
14,7,7,1,1,0,0,2,1,1,1,27,31,-5.735407685701318,False,IRON
15,11,11,2,3,0,1,3,2,2,0,47,44,-1.4391244980373017,False,IRON
16,3,9,0,1,0,1,3,2,1,1,38,50,-7.098721560250787,False,IRON
17,6,10,2,4,0,2,4,1,0,2,38,43,-0.8527140551980139,False,IRON
18,2,7,0,1,0,1,0,3,0,1,16,27,-3.8674852848654524,False,IRON
19,11,2,2,0,1,0,3,2,1,1,47,26,5.161318309847765,True,IRON
20,10,1,3,0,0,0,3,0,2,0,37,15,11.366286032888617,True,IRON
21,11,3,3,0,1,0,2,2,2,0,50,22,8.399855567255536,True,IRON
22,11,2,4,0,2,0,4,1,1,1,38,32,6.4596229845159385,True,IRON
23,6,9,1,1,1,0,3,1,1,1,24,21,3.2096854400009533,True,IRON
24,11,2,4,0,1,0,2,3,0,2,59,35,8.88129868063379,True,IRON
25,11,5,2,0,0,2,4,3,2,0,47,44,3.177837223360065,True,IRON
26,9,1,2,0,1,0,2,3,2,0,45,33,6.005465268178391,True,IRON
27,9,6,2,0,2,1,5,1,0,2,68,72,-1.9754319824795843,True,IRON
28,11,8,3,4,0,1,2,2,1,1,52,27,13.296131043173823,True,IRON
29,8,4,3,0,1,0,4,0,1,1,37,22,8.385355955870068,True,IRON
30,11,3,3,0,0,1,2,2,2,0,37,51,-8.986142166912543,True,IRON
31,10,5,3,0,0,0,4,0,0,2,26,27,-0.7513295491009373,True,IRON
32,10,3,2,0,1,0,4,1,1,1,41,32,3.6679332068846406,True,IRON
33,8,4,1,0,0,0,4,0,0,2,43,42,-1.1299140038588291,True,IRON
34,7,11,1,2,0,2,1,4,1,1,24,41,-8.255323641610602,False,IRON
35,10,1,2,0,0,0,2,1,1,1,41,12,19.059317601471502,True,IRON
36,2,8,0,1,0,1,1,3,0,1,35,41,-0.45330438398089257,False,IRON
37,11,3,4,0,1,0,5,0,1,0,54,39,9.001765779209599,True,IRON
38,8,3,1,0,0,0,2,0,2,0,28,24,4.90124138808882,True,IRON
39,4,11,0,2,0,1,2,3,0,2,28,39,-2.817637747455663,False,IRON
