,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,5,1,0,1,0,3,0,2,0,39,30,5.021815114964902,True,BRONZE
1,7,8,1,1,1,1,2,2,1,0,36,35,-1.2631868556093906,False,BRONZE
2,10,3,3,0,1,0,4,0,0,2,38,14,16.436514201856575,True,BRONZE
3,7,2,1,0,1,0,2,0,0,1,32,8,15.52535745858792,True,BRONZE
4,9,11,1,3,0,2,2,2,1,0,24,37,-11.470403650777143,False,BRONZE
5,11,1,3,0,1,0,3,0,0,0,32,19,7.1174487444439976,True,BRONZE
6,2,11,0,3,0,0,0,3,0,0,15,23,-8.385795844973778,False,BRONZE
7,2,4,0,0,0,1,2,1,0,1,21,23,-3.3021340649552258,False,BRONZE
8,2,11,0,4,1,1,2,4,0,1,33,45,-7.236597882180419,False,BRONZE
9,5,4,0,0,1,0,3,0,0,2,33,26,6.317013797190228,True,BRONZE
10,7,3,0,0,0,1,2,0,1,1,32,22,5.902412759273886,True,BRONZE
11,11,2,2,0,0,0,2,1,1,0,43,23,8.12662835652991,True,BRONZE
12,9,9,2,1,0,1,1,2,0,1,32,32,-2.106786570201521,False,BRONZE
13,5,11,0,5,0,2,2,3,0,1,41,55,-6.633590552873706,False,BRONZE
14,10,6,1,1,0,2,5,0,0,1,44,32,3.8541727577537728,True,BRONZE
15,2,6,0,1,0,0,0,3,0,2,25,32,-6.79175950296613,False,BRONZE
16,6,4,1,0,0,1,3,2,0,2,50,37,2.8587008291616485,True,BRONZE
17,3,3,0,0,0,0,1,1,1,0,17,18,-1.226727812101437,False,BRONZE
18,6,0,0,0,0,0,3,0,1,1,38,31,2.381410229210182,True,BRONZE
19,10,8,3,2,0,0,1,4,0,1,40,38,-0.14413343129370304,True,BRONZE
20,7,4,1,0,0,0,2,1,0,1,29,40,-7.829111214450727,True,BRONZE
21,9,3,2,0,0,0,2,2,1,1,32,41,-1.992297167875428,True,BRONZE
22,1,7,0,1,0,1,0,4,0,1,24,40,-9.48457246980972,False,BRONZE
23,2,11,0,4,0,1,0,3,0,1,24,43,-10.424874388497578,False,BRONZE
24,1,10,0,2,0,0,1,2,0,2,35,45,-2.2888495612292417,False,BRONZE
25,9,3,2,0,1,0,2,1,0,1,37,34,2.9277108540160626,True,BRONZE
26,9,2,2,0,1,0,3,0,0,1,54,54,0.6396753290159651,True,BRONZE
27,5,9,0,1,0,2,3,3,1,0,29,38,-6.411739615941457,False,BRONZE
28,4,11,0,3,1,0,1,3,0,1,38,44,-0.8338911224446122,False,BRONZE
29,11,0,3,0,0,0,4,0,0,1,44,15,13.575947789329852,True,BRONZE
30,0,11,0,3,0,1,0,3,0,2,19,36,-12.123057051345931,False,BRONZE
31,7,2,2,0,1,0,2,3,0,1,59,31,10.06007969372029,True,BRONZE
32,4,6,0,1,0,0,0,4,0,2,24,35,-6.202403977993882,False,BRONZE
33,10,4,2,0,0,0,3,1,0,1,48,27,7.427977483832862,True,BRONZE
