,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,5,1,0,1,1,3,1,0,2,26,24,0.6172330721900181,True,GOLD
1,4,9,0,1,0,2,2,3,2,0,27,49,-7.493756651661762,False,GOLD
2,10,0,2,0,1,0,4,0,2,0,44,22,8.40825657538118,True,GOLD
3,6,9,0,2,1,1,1,4,1,1,47,58,-8.376248109532689,False,GOLD
4,10,5,2,0,2,0,4,1,1,0,54,41,6.66737715860279,True,GOLD
5,9,0,2,0,1,0,2,1,2,0,31,16,6.192862071853774,True,GOLD
6,4,8,0,1,1,1,1,3,1,0,29,36,-2.5526771189647093,False,GOLD
7,11,1,3,0,1,0,3,0,2,0,32,15,10.663430595435877,True,GOLD
8,0,10,0,2,0,1,0,3,0,2,15,33,-11.36575798543251,False,GOLD
9,4,9,0,2,0,1,2,2,1,0,24,50,-8.25574518080613,False,GOLD
10,10,3,3,0,0,2,1,3,2,0,39,46,1.4568271708545595,True,GOLD
11,3,8,0,1,0,0,0,2,2,0,14,37,-13.407833615815413,False,GOLD
12,2,9,0,1,0,1,1,3,0,1,18,37,-6.5709328663158,False,GOLD
13,3,11,0,3,0,1,1,3,0,1,24,40,-12.356008769067579,False,GOLD
14,2,9,0,1,0,1,0,3,0,1,9,28,-15.981965696319726,False,GOLD
15,8,5,1,0,0,1,5,0,2,0,46,41,5.620085930059609,True,GOLD
16,10,0,3,0,2,0,3,2,2,0,40,37,-0.43262501725330793,True,GOLD
17,10,8,1,3,1,1,2,4,1,1,44,56,-3.377218726130863,True,GOLD
18,8,5,1,0,1,0,1,4,2,0,44,34,5.6520644549542,True,GOLD
19,5,9,0,2,0,1,1,3,0,1,28,39,-1.601687521223134,False,GOLD
20,10,0,2,0,1,0,2,1,0,1,39,18,9.948297092487415,True,GOLD
21,10,3,2,0,2,0,2,2,2,0,27,15,8.764660577325714,True,GOLD
22,11,3,3,0,1,0,2,2,1,1,36,31,1.8689780781036163,True,GOLD
23,1,11,0,4,0,1,1,4,0,2,30,41,-5.4566019736132745,False,GOLD
24,5,11,0,2,0,1,0,4,0,2,41,55,-6.124630170500282,False,GOLD
25,10,7,1,1,1,1,3,2,1,1,42,45,-0.6759733438763433,True,GOLD
26,11,3,3,0,1,0,3,1,1,1,42,24,2.2436888916306117,True,GOLD
27,7,7,2,2,1,0,4,0,1,1,37,37,-2.8114708436177054,False,GOLD
28,10,3,2,0,0,1,3,1,0,2,38,34,0.1962651961958315,True,GOLD
29,11,5,3,0,1,0,3,3,0,1,39,38,1.309669948194184,True,GOLD
30,5,11,0,4,0,1,1,4,2,0,41,52,-3.4785816582253375,False,GOLD
31,10,3,2,0,2,0,4,1,2,0,27,25,0.2177529352356231,True,GOLD
32,3,9,0,2,0,1,2,2,0,2,32,52,-8.038331213843591,False,GOLD
33,2,10,0,2,0,2,1,3,0,2,24,39,-5.5343618030083945,False,GOLD
34,9,3,2,0,0,0,2,1,0,2,34,30,2.37767431741117,True,GOLD
35,0,11,0,4,0,1,0,4,1,1,25,42,-9.21932136870852,False,GOLD
36,11,3,1,0,1,0,2,1,0,1,31,25,1.3699991606742543,True,GOLD
37,6,6,0,0,1,1,4,1,1,1,51,56,0.38729621935398484,True,GOLD
38,4,9,0,1,0,2,3,2,2,0,29,37,-8.331737860163123,False,GOLD
39,1,9,0,2,0,0,0,3,1,1,13,31,-11.909013262624974,False,GOLD
40,9,5,1,0,1,0,3,0,1,0,43,20,12.95472431228,True,GOLD
41,9,7,1,1,1,1,4,1,1,1,56,40,3.9815714726303284,False,GOLD
42,10,1,4,0,1,0,4,2,2,0,43,28,6.97571438621879,True,GOLD
