,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,2,4,0,0,0,3,1,2,0,46,21,7.881040334791798,True,PLATINUM
1,2,6,0,0,0,0,0,2,0,1,21,36,-9.497927680092978,False,PLATINUM
2,9,3,2,0,0,0,2,2,1,1,40,24,9.784977153060083,True,PLATINUM
3,2,8,0,2,0,0,0,3,1,0,26,52,-6.453849231818872,False,PLATINUM
4,0,10,0,3,0,1,0,3,0,2,10,30,-8.378644711407105,False,PLATINUM
5,4,2,0,0,0,0,2,0,0,2,22,27,-5.020398110764837,False,PLATINUM
6,4,11,0,2,0,1,1,4,2,0,35,44,-1.6666372669132272,False,PLATINUM
7,3,11,0,5,1,1,2,2,1,1,38,50,-2.8071713902499766,False,PLATINUM
8,10,0,2,0,1,0,2,1,2,0,40,21,10.232041513477782,True,PLATINUM
9,7,8,0,2,2,0,3,2,1,0,46,44,3.8622903175905847,False,PLATINUM
10,9,5,2,0,1,0,3,1,1,1,44,31,2.871786700064895,True,PLATINUM
11,0,8,0,1,0,0,1,2,1,0,33,58,-12.486395284506862,False,PLATINUM
12,9,7,3,1,2,0,4,1,0,2,34,29,-0.0948989353094234,True,PLATINUM
13,6,2,1,0,1,0,3,0,1,1,26,10,17.17833814703842,True,PLATINUM
14,0,10,0,2,0,1,1,2,0,0,17,29,-8.13437648745392,False,PLATINUM
15,2,10,0,2,0,1,0,4,1,1,15,34,-9.877201893174686,False,PLATINUM
16,7,9,1,2,1,2,2,4,1,0,41,41,-2.9276470095953755,False,PLATINUM
17,8,6,2,2,1,1,3,2,1,1,47,31,10.440726208190497,True,PLATINUM
18,0,10,0,2,0,1,1,4,0,2,21,19,1.6942000323988466,False,PLATINUM
19,4,9,0,2,0,1,0,3,2,0,29,48,-10.55050673267477,False,PLATINUM
20,4,9,0,2,0,3,1,4,0,2,14,27,-4.940861080387251,False,PLATINUM
21,9,6,2,0,2,0,3,2,1,0,32,18,8.696731117573101,True,PLATINUM
22,9,4,1,0,1,0,3,2,2,0,45,44,3.346568045910743,True,PLATINUM
23,3,7,0,1,0,1,0,4,0,2,22,47,-9.939188858303993,False,PLATINUM
24,11,5,4,0,2,0,4,1,1,0,44,36,3.046627554880544,True,PLATINUM
25,9,3,2,0,1,0,4,0,2,0,41,21,7.177157790443033,True,PLATINUM
26,4,10,0,1,1,1,3,3,0,1,24,34,-5.5286876379370895,False,PLATINUM
27,1,4,0,1,0,0,0,0,0,0,60,60,0.33151298892452985,False,PLATINUM
28,4,7,0,1,1,1,2,1,0,2,28,24,4.093290291104012,False,PLATINUM
29,4,9,0,2,0,1,1,3,1,1,12,28,-9.279024730810242,False,PLATINUM
30,0,5,0,0,0,0,0,3,0,2,16,29,-9.676741224462944,False,PLATINUM
31,5,9,0,2,0,2,2,3,1,0,27,40,-8.885069521994957,False,PLATINUM
32,1,9,0,1,0,1,2,2,0,1,24,49,-11.908274346947408,False,PLATINUM
33,11,0,4,0,1,0,4,1,2,0,26,10,6.830890700201216,True,PLATINUM
34,1,5,0,0,0,0,0,3,0,2,22,41,-11.124185606040875,False,PLATINUM
35,10,1,2,0,1,0,3,1,1,1,42,15,11.812064314040626,True,PLATINUM
36,11,5,2,0,2,0,2,3,1,0,48,29,6.876451761467422,True,PLATINUM
37,11,1,3,0,0,0,3,0,1,0,37,13,14.618417855623065,True,PLATINUM
