,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,2,1,2,0,0,0,0,0,0,51,69,-0.3803352649199496,False,BRONZE
1,1,11,0,2,0,1,0,3,1,1,28,27,3.0266623273935735,False,BRONZE
2,3,10,0,2,0,1,1,3,2,0,30,48,-6.642783465242374,False,BRONZE
3,3,9,0,1,1,0,1,4,1,0,44,45,-3.9867256394559405,False,BRONZE
4,4,4,2,2,0,0,0,0,0,0,74,80,-2.164125558149429,False,BRONZE
5,7,5,1,0,2,0,3,0,0,2,41,19,6.511960296085348,True,BRONZE
6,11,2,6,0,2,0,5,0,1,1,48,33,3.8551678355210868,True,BRONZE
7,7,5,2,0,1,1,4,1,1,1,40,22,3.8169637739629962,True,BRONZE
8,0,9,0,2,0,0,1,2,0,1,23,40,-3.7931976701173866,False,BRONZE
9,5,5,0,0,0,1,3,2,0,0,32,41,-1.2539013819762843,False,BRONZE
10,2,8,0,1,0,0,0,3,0,1,21,36,-6.872927346591389,False,BRONZE
11,3,11,0,3,0,2,1,3,0,2,35,43,-3.6050337964488435,False,BRONZE
12,10,7,2,2,1,1,1,3,1,1,49,39,5.3699002491949415,True,BRONZE
13,5,11,0,3,1,1,0,4,1,0,39,50,-5.437467686154179,False,BRONZE
14,11,4,2,0,2,0,4,0,1,0,40,22,8.818803286899062,True,BRONZE
15,3,9,0,3,0,2,1,3,1,1,42,63,-7.467205506449218,False,BRONZE
16,0,11,0,3,0,0,0,2,0,2,24,35,-5.877890028940257,False,BRONZE
17,8,7,2,0,1,0,2,3,2,0,37,30,-1.447082651998933,True,BRONZE
18,2,4,0,2,0,0,0,0,0,0,79,82,1.0431427852863848,False,BRONZE
19,4,3,2,3,0,0,0,0,0,0,85,75,1.7018294381796295,True,BRONZE
20,9,0,2,0,1,0,2,1,2,0,37,20,7.48868777276013,True,BRONZE
21,3,3,0,0,0,0,1,2,0,2,19,27,-3.3386308212128952,False,BRONZE
22,10,5,2,0,1,0,2,3,1,0,38,27,6.088628844931186,True,BRONZE
23,1,4,0,1,0,0,0,0,0,0,67,59,1.3039661864193377,False,BRONZE
24,2,4,1,3,0,0,0,0,0,0,64,71,2.251250729155771,False,BRONZE
