,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,4,1,1,1,3,1,1,32,38,-3.5235830894539433,False,SILVER
1,7,8,1,1,0,1,0,4,0,1,18,24,-6.82157888742136,True,SILVER
2,8,5,1,1,1,1,4,0,0,2,38,21,10.015164927989645,True,SILVER
3,6,7,1,1,1,1,3,3,2,0,28,30,-2.0758682666491666,False,SILVER
4,10,5,2,0,2,0,3,2,0,0,39,36,3.32019475482538,True,SILVER
5,3,11,0,2,0,1,1,4,1,1,23,47,-12.270642477276667,False,SILVER
6,7,4,1,0,1,0,3,1,0,2,29,21,11.107857603478259,True,SILVER
7,2,10,0,1,0,0,1,2,0,2,23,45,-15.940928598384616,False,SILVER
8,10,3,2,0,1,0,1,2,1,1,35,16,12.815709325375373,True,SILVER
9,1,11,0,3,0,2,2,3,1,0,26,55,-9.811514947390059,False,SILVER
10,9,9,6,3,2,1,2,5,1,1,31,41,-5.627809764634705,False,SILVER
11,10,4,2,0,0,1,0,3,0,2,37,36,-0.5893704861132534,True,SILVER
12,11,3,3,0,2,0,5,0,1,1,25,26,-0.22674858407864917,True,SILVER
13,9,0,2,0,1,0,4,0,2,0,34,15,10.385805424984127,True,SILVER
14,11,5,6,0,3,0,4,2,1,1,39,35,0.6817933107824956,True,SILVER
15,7,7,1,0,1,2,2,3,0,1,47,39,-0.10625930582941123,True,SILVER
16,6,10,0,2,0,1,0,4,2,0,18,40,-11.262557886764188,False,SILVER
17,10,5,3,0,1,0,4,0,1,1,49,31,8.8170739025135,True,SILVER
18,10,2,1,0,0,0,4,1,0,2,52,22,12.591312456123816,True,SILVER
19,3,9,0,2,1,0,0,5,1,1,24,45,-12.021781031973454,False,SILVER
20,9,7,2,1,0,0,2,3,2,0,51,35,7.321131191389476,True,SILVER
21,3,9,0,1,0,1,1,4,0,1,13,38,-12.240304029701356,False,SILVER
22,11,4,4,0,2,0,2,1,1,1,43,30,5.417520486180564,True,SILVER
23,5,11,0,4,0,2,0,5,0,2,37,51,-1.7975380371604572,False,SILVER
24,3,11,0,4,0,1,3,2,0,1,31,43,-4.3376659930475014,False,SILVER
25,10,5,4,0,1,0,4,2,2,0,59,34,5.234473878927858,True,SILVER
26,7,3,1,0,1,0,3,0,1,1,28,12,11.654116169687924,True,SILVER
27,10,5,1,0,2,0,3,1,0,1,61,43,2.9045893751157976,True,SILVER
28,2,11,0,2,0,1,2,1,0,2,19,29,-7.107370846372589,False,SILVER
29,3,10,0,2,0,1,1,2,0,2,38,39,0.4960042571430705,False,SILVER
30,1,10,0,2,0,0,1,3,0,1,27,47,-5.241707551266003,False,SILVER
