,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,4,1,0,1,0,3,1,1,1,39,22,10.916642713435344,True,BRONZE
1,11,4,3,0,2,0,3,2,1,0,42,40,-1.5325877842963678,True,BRONZE
2,9,9,3,2,0,1,3,2,1,1,46,43,1.7232361801171336,False,BRONZE
3,11,6,6,1,1,1,3,4,0,1,44,44,1.8008412351335252,True,BRONZE
4,5,5,0,0,0,0,2,2,0,1,33,25,6.226204637700789,True,BRONZE
5,6,5,1,0,0,1,2,3,0,1,65,58,5.518171896363086,True,BRONZE
6,4,8,0,1,0,1,1,2,1,0,18,37,-8.840209474159668,False,BRONZE
7,11,1,3,0,0,0,2,1,0,1,35,19,6.3626718329072744,True,BRONZE
8,6,2,1,0,1,0,4,0,0,2,37,17,14.01155789298111,True,BRONZE
9,9,7,2,0,2,1,5,2,0,2,39,33,1.693349890105921,True,BRONZE
10,9,1,3,0,1,0,3,1,1,0,53,25,12.72319586799805,True,BRONZE
11,10,4,1,0,1,0,1,3,1,1,45,38,0.7538706421959418,True,BRONZE
12,10,5,2,0,1,1,4,1,2,0,58,42,3.901499421666877,True,BRONZE
13,6,11,1,3,1,1,2,5,1,0,50,56,-3.722617281224821,False,BRONZE
14,11,1,3,0,1,0,4,0,2,0,52,18,11.776327064742798,True,BRONZE
15,2,10,0,2,0,0,2,2,0,1,20,27,-2.9694842657397587,False,BRONZE
16,0,10,0,2,0,0,0,2,0,2,19,33,-10.579237948260165,False,BRONZE
17,4,11,0,2,0,1,2,3,0,0,24,53,-9.453764772089528,False,BRONZE
18,2,10,0,2,0,0,0,4,0,1,14,34,-13.620533520771993,False,BRONZE
19,8,10,0,2,2,0,2,4,1,1,33,29,3.669498664167527,False,BRONZE
20,8,7,1,2,0,0,2,1,0,1,36,42,-1.1248407271850525,False,BRONZE
21,10,3,2,0,0,1,2,2,1,1,39,23,5.1685730607963905,True,BRONZE
22,1,10,0,2,0,0,1,1,1,0,28,34,-4.821616877242938,False,BRONZE
23,3,4,0,0,1,0,1,2,0,1,21,10,9.45556209066062,True,BRONZE
24,0,9,0,1,0,1,0,4,0,2,12,31,-11.727519000679585,False,BRONZE
25,4,2,0,0,0,0,2,1,1,0,29,21,0.7976657381628485,True,BRONZE
26,8,9,0,1,0,2,2,4,2,0,47,37,0.24767890505379597,False,BRONZE
27,9,2,2,0,1,0,4,1,1,0,32,14,8.558411430198461,True,BRONZE
28,0,11,0,3,0,0,0,4,0,1,23,44,-10.278961294085576,False,BRONZE
29,8,4,1,0,0,0,4,0,0,2,38,13,13.69984341725712,True,BRONZE
30,4,11,0,3,0,2,3,2,0,1,28,30,0.7083260014792785,False,BRONZE
31,2,11,0,4,0,1,1,4,1,1,23,38,-6.922512945002289,False,BRONZE
32,5,10,0,2,0,1,1,3,1,1,9,41,-15.890504603997883,False,BRONZE
33,4,9,0,1,0,1,0,4,1,0,33,40,-3.904123737916592,False,BRONZE
34,2,11,0,3,0,1,1,2,1,1,18,28,-8.387089751467592,False,BRONZE
35,6,3,1,0,0,0,4,0,1,0,39,21,5.92703391305843,True,BRONZE
36,4,10,0,3,0,1,1,3,1,1,23,48,-14.462429872217385,False,BRONZE
37,5,9,0,1,2,0,3,3,0,2,42,34,-0.1908727245183428,False,BRONZE
38,6,7,0,1,0,1,1,5,2,0,38,39,-5.927914926732747,False,BRONZE
