,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,9,0,2,1,0,2,2,1,1,18,27,-6.965046350990846,False,GOLD
1,11,2,3,0,2,0,3,1,1,1,38,21,6.558722885374273,True,GOLD
2,8,7,1,1,1,1,5,1,2,0,49,43,2.437874529586871,True,GOLD
3,4,11,0,7,1,2,3,4,0,1,56,43,2.893280129301033,False,GOLD
4,10,5,2,0,0,0,1,2,1,0,39,23,10.696060661362111,True,GOLD
5,7,3,1,0,0,0,3,1,1,0,30,28,2.1223929968316497,True,GOLD
6,2,5,0,0,0,0,2,1,1,1,21,32,-7.754472886147326,False,GOLD
7,6,3,0,0,0,0,1,2,1,1,31,26,0.9044388156203382,True,GOLD
8,3,6,0,0,1,1,0,5,0,2,29,38,2.952633122012159,False,GOLD
9,2,8,0,2,0,1,1,3,1,1,25,44,-3.74684425106895,False,GOLD
10,4,10,0,3,0,1,1,3,0,0,33,36,-2.397343089593136,False,GOLD
11,3,11,0,3,1,1,0,4,0,1,28,32,-5.649428875003643,False,GOLD
12,10,4,2,0,1,0,4,0,1,1,33,13,12.77277485789606,True,GOLD
13,4,9,0,2,1,0,1,3,0,2,35,60,-8.504992901932113,False,GOLD
