,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,8,0,1,0,0,0,3,1,1,1,44,27,10.573858929761485,True,IRON
1,2,4,0,0,0,0,1,2,0,1,22,24,1.1430728921213245,False,IRON
2,2,7,0,1,0,0,2,1,0,1,21,35,-6.017951826595137,False,IRON
3,3,5,0,1,0,1,0,3,2,0,14,41,-15.98745376391252,False,IRON
4,6,11,0,3,0,1,1,5,2,0,22,45,-11.676162326515325,False,IRON
5,7,2,1,0,0,0,4,0,1,0,33,15,15.975883641300705,True,IRON
6,10,4,2,0,2,0,2,3,0,1,48,30,8.413243984799855,True,IRON
7,11,5,3,0,1,0,4,0,0,1,52,36,9.940686613476885,True,IRON
8,7,2,1,0,1,0,4,0,0,1,36,25,0.27694991863570095,True,IRON
9,11,2,4,0,0,0,4,2,2,0,60,46,4.861665727450479,True,IRON
10,5,11,0,3,0,1,3,2,1,0,24,37,-2.7165782766557243,False,IRON
11,7,7,0,1,0,1,2,3,0,0,26,53,-9.963712039440374,False,IRON
12,7,11,1,3,0,2,3,3,1,0,58,58,-1.5691585850704755,False,IRON
13,2,5,0,0,0,0,1,2,0,1,12,37,-16.68576772222664,False,IRON
14,4,11,0,3,0,1,1,3,0,1,35,45,-3.579706475798858,False,IRON
15,8,7,2,0,2,0,2,2,0,0,58,42,8.224202805243685,True,IRON
16,0,11,0,3,0,0,0,3,0,2,15,34,-14.144650825463653,False,IRON
17,7,10,3,3,1,2,3,4,1,1,32,51,-5.755722215293474,False,IRON
18,4,11,0,4,0,2,1,4,1,0,28,52,-11.230848609702363,False,IRON
19,3,4,0,0,0,0,1,2,0,2,21,37,-11.265066952866018,False,IRON
20,3,11,0,2,0,0,1,4,0,1,35,50,-8.687471890744675,False,IRON
21,10,1,2,0,0,0,3,0,1,1,49,27,13.271889564641171,True,IRON
22,7,1,0,0,1,0,3,1,2,0,37,15,10.426236214173997,True,IRON
23,5,11,0,3,1,1,1,4,0,1,22,40,-5.163701686320323,False,IRON
24,4,9,0,2,0,2,2,2,2,0,38,41,-0.6754702178610543,False,IRON
25,4,11,0,5,0,0,1,3,0,2,32,51,-9.030533186003112,False,IRON
26,7,4,1,0,1,0,1,2,1,0,30,25,5.262486552170678,True,IRON
27,7,9,0,2,0,2,4,1,0,2,68,62,-5.77487599238988,False,IRON
28,10,3,2,0,0,0,3,0,1,1,34,31,-1.891920089029135,True,IRON
29,6,11,0,3,0,1,0,4,1,0,20,32,-8.306928604749963,False,IRON
30,7,5,1,0,1,0,4,1,0,1,47,29,7.070702366266126,True,IRON
31,9,6,1,0,0,1,2,3,1,0,40,29,4.645077606955745,True,IRON
32,4,11,0,2,0,2,0,4,2,0,19,32,-3.0639023148324043,False,IRON
33,1,10,0,3,0,2,0,5,1,0,17,39,-13.623200747538132,False,IRON
34,9,10,2,2,1,0,3,3,0,2,49,60,-5.367863627398243,False,IRON
