,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,11,0,1,0,1,0,4,0,1,22,35,-6.738818785431299,False,BRONZE
1,6,10,1,2,0,1,1,3,0,2,28,39,-2.7598716695948866,False,BRONZE
2,8,3,1,0,1,0,2,3,2,0,46,34,3.750693816765107,True,BRONZE
3,9,4,1,0,1,0,4,1,0,1,39,25,6.859792634112566,True,BRONZE
4,6,10,0,3,1,0,3,2,1,1,42,42,1.2914457559489634,False,BRONZE
5,10,1,3,0,1,0,3,1,1,1,44,19,9.452273934440463,True,BRONZE
6,9,4,2,0,1,0,1,2,1,1,21,11,12.551787705846436,True,BRONZE
7,5,6,0,1,0,0,1,3,0,2,27,46,-7.991064990503958,False,BRONZE
8,2,9,0,2,0,1,2,2,1,0,22,25,-7.433369518835107,False,BRONZE
9,11,3,5,0,1,0,0,4,0,1,36,37,-6.746217579272923,True,BRONZE
10,0,11,0,5,0,2,1,4,0,1,33,46,-1.794087534642827,False,BRONZE
11,11,8,2,1,1,1,2,3,2,0,27,49,-9.718523639363838,False,BRONZE
12,3,11,0,3,0,0,1,3,1,1,18,36,-10.543156726851407,False,BRONZE
13,10,2,3,0,1,0,4,1,0,2,30,24,2.325072253844155,True,BRONZE
14,2,8,0,1,0,0,2,1,0,2,23,34,-6.95190628326646,False,BRONZE
15,3,8,0,1,0,0,0,3,1,1,24,37,-7.158396980549412,False,BRONZE
16,5,9,1,1,0,1,4,0,0,2,26,26,1.3891922605400495,False,BRONZE
17,9,6,2,2,3,0,4,0,1,0,53,32,8.279242808922781,True,BRONZE
18,8,7,0,2,2,1,1,4,0,2,48,50,-0.025817486663420652,False,BRONZE
19,6,11,0,3,0,2,0,5,0,1,48,50,-3.286653038644019,False,BRONZE
20,10,1,2,0,1,0,3,0,2,0,32,5,17.777788243027643,True,BRONZE
21,11,3,3,0,1,0,4,1,0,1,35,28,1.990674359344851,True,BRONZE
22,11,3,4,0,2,0,3,3,2,0,37,14,9.450632407900429,True,BRONZE
23,7,3,1,0,1,0,2,1,2,0,19,19,-0.522497118790497,True,BRONZE
24,8,6,1,0,1,0,3,3,1,0,41,29,4.9347138788225,True,BRONZE
25,11,10,5,1,0,1,1,5,1,1,51,59,-4.327654926577701,False,BRONZE
26,5,4,1,0,1,0,1,3,0,1,33,23,4.477293716287427,True,BRONZE
27,3,7,0,1,0,1,0,4,2,0,24,39,-11.927352428012945,False,BRONZE
28,5,9,0,1,0,1,2,3,1,1,43,47,-7.222039103706813,False,BRONZE
29,2,6,0,0,0,1,0,4,1,1,21,36,-10.14597086525474,False,BRONZE
30,6,11,0,3,1,1,2,4,2,0,30,45,-9.64990436239728,False,BRONZE
31,10,5,2,1,2,1,2,4,0,2,24,34,-3.9600945166418597,True,BRONZE
32,11,0,4,0,2,0,5,0,2,0,52,22,9.2247702353528,True,BRONZE
33,5,3,0,0,1,0,4,0,2,0,39,22,12.430900474716964,True,BRONZE
34,9,3,2,0,1,0,3,1,1,1,42,15,12.389207306374708,True,BRONZE
35,5,11,0,2,1,0,0,4,2,0,24,46,-10.50808684821262,False,BRONZE
36,9,4,2,0,1,0,4,2,2,0,54,32,3.3765711013304482,True,BRONZE
37,7,11,1,3,1,1,3,3,1,1,39,41,-3.1371832256553844,False,BRONZE
38,11,6,4,0,1,0,3,2,0,1,38,30,4.079366873816852,True,BRONZE
39,6,10,0,2,0,1,3,3,1,0,42,53,0.7852850674096956,False,BRONZE
40,11,5,3,0,1,1,3,3,0,2,64,55,2.6991305430682786,True,BRONZE
41,3,11,0,3,0,1,0,4,0,1,15,29,-11.4858877450746,False,BRONZE
