,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,7,7,2,1,0,1,0,4,0,2,19,39,-11.425052370224932,False,PLATINUM
1,10,1,2,0,1,0,4,0,0,2,31,16,7.921601249631372,True,PLATINUM
2,11,1,3,0,1,0,2,2,0,1,28,21,5.060697301987879,True,PLATINUM
3,4,11,0,3,0,1,2,2,0,2,24,46,-11.082531912493636,False,PLATINUM
4,7,5,0,1,0,0,0,4,1,0,23,46,-13.403257027170856,False,PLATINUM
5,11,4,2,0,1,0,1,3,2,0,33,35,-0.10574065931028542,True,PLATINUM
6,3,9,0,1,0,1,1,2,0,2,21,31,-6.039269151372139,False,PLATINUM
7,3,10,0,2,0,2,3,2,1,0,34,45,-6.500860688802732,False,PLATINUM
8,7,10,0,2,1,0,2,4,1,1,51,49,0.4442106440970335,False,PLATINUM
9,2,8,0,1,0,1,0,4,0,2,20,29,-3.912370986488888,False,PLATINUM
10,1,4,0,2,0,0,0,0,0,0,46,58,-3.3093790156892666,False,PLATINUM
11,5,1,0,0,0,0,3,0,1,0,32,17,10.596192007006593,True,PLATINUM
12,6,1,0,0,0,0,2,0,1,0,35,14,11.365448122250495,True,PLATINUM
13,7,10,0,3,0,1,1,4,1,1,54,86,-9.45578354527845,False,PLATINUM
14,8,4,2,0,0,1,2,1,0,1,34,25,2.434045095380718,True,PLATINUM
15,8,1,2,0,1,0,3,0,1,0,37,7,18.37666895740351,True,PLATINUM
16,10,2,2,0,1,0,2,2,0,1,55,30,6.66244551416041,True,PLATINUM
17,3,11,0,3,0,2,1,4,2,0,11,39,-10.08159258693398,False,PLATINUM
18,10,2,2,0,1,0,2,1,2,0,39,20,7.614995291581955,True,PLATINUM
19,6,9,2,2,0,1,1,3,0,1,35,52,-4.896789689907941,False,PLATINUM
20,11,6,2,0,2,0,3,3,0,1,46,35,9.847144031832109,True,PLATINUM
21,11,0,3,0,0,0,3,0,1,1,40,24,7.222968246163617,True,PLATINUM
22,4,8,0,0,0,1,3,1,0,1,31,35,-3.7345163474682934,False,PLATINUM
23,5,8,0,1,0,1,1,2,0,2,27,52,-9.606567009712151,False,PLATINUM
24,0,11,0,4,0,1,0,3,0,1,9,32,-13.083505782578108,False,PLATINUM
25,11,2,3,0,1,0,3,0,0,2,35,9,13.25442292244325,True,PLATINUM
26,7,1,1,0,1,0,3,0,1,1,29,19,7.391632436640741,True,PLATINUM
27,3,11,0,1,0,1,0,3,0,1,30,43,-4.89879006459492,False,PLATINUM
28,11,1,4,0,2,0,3,2,1,1,44,22,9.546325548950968,True,PLATINUM
29,7,2,1,0,1,0,2,1,0,1,31,15,11.912395101312875,True,PLATINUM
30,10,3,1,0,1,0,3,1,1,1,28,19,5.185514302237408,True,PLATINUM
31,9,2,2,0,1,0,1,2,1,1,35,18,12.511691622031062,True,PLATINUM
32,3,9,0,2,0,1,1,3,1,1,20,35,-11.268666049912696,False,PLATINUM
33,5,9,0,2,0,1,1,4,0,1,37,36,-0.5181230799066867,False,PLATINUM
34,0,9,0,1,0,1,0,3,1,1,17,45,-12.851613499552329,False,PLATINUM
35,0,10,0,1,0,1,0,4,1,1,29,52,-8.550953712839316,False,PLATINUM
