,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,1,9,0,1,1,0,0,3,0,2,31,44,-5.117584447366667,False,DIAMOND
1,2,10,0,2,0,0,0,3,0,2,20,38,-9.167559249233065,False,DIAMOND
2,2,10,0,2,0,0,0,1,1,1,26,39,-2.162219282849854,False,DIAMOND
3,3,10,1,1,0,1,0,3,1,1,23,52,-9.632836270537204,False,DIAMOND
4,1,10,0,2,0,1,1,3,2,0,20,38,-10.189237740581653,False,DIAMOND
5,9,7,3,0,2,0,3,2,2,0,37,47,-6.065124127117208,True,DIAMOND
6,5,9,0,1,0,2,2,2,2,0,28,31,1.7404138958315656,False,DIAMOND
7,1,6,0,0,1,0,1,2,0,2,28,32,-0.8927950179119151,False,DIAMOND
8,5,1,0,0,0,1,0,3,2,0,10,35,-12.093942481458626,False,DIAMOND
9,3,4,0,0,1,0,4,0,0,2,33,21,6.5317510351815145,True,DIAMOND
10,2,5,0,0,0,1,0,3,0,2,11,29,-10.526670659440207,False,DIAMOND
11,7,5,1,0,1,0,3,0,0,2,32,34,-1.4084963753070738,True,DIAMOND
12,6,11,0,6,1,1,1,4,0,1,35,37,-0.8319035821866123,False,DIAMOND
13,2,9,0,2,0,2,2,2,0,2,26,31,-4.567343779962151,False,DIAMOND
14,4,4,1,2,0,0,0,0,0,0,88,85,0.632685990987973,True,DIAMOND
15,3,9,0,2,0,1,2,2,2,0,21,36,-8.858949313246164,False,DIAMOND
16,4,8,0,1,0,1,1,3,1,1,23,28,-6.532430178553668,False,DIAMOND
17,3,10,0,2,0,2,1,3,0,2,27,50,-8.668275036789659,False,DIAMOND
18,1,6,0,0,0,1,0,3,0,2,16,35,-10.41751509878712,False,DIAMOND
19,4,8,0,1,0,2,3,1,2,0,23,35,-6.208799199425286,False,DIAMOND
20,3,8,0,1,0,1,1,2,0,2,20,36,-9.476809481435112,False,DIAMOND
21,11,3,3,0,1,0,3,0,1,1,41,25,-0.6804891869769989,True,DIAMOND
22,10,3,2,0,1,0,1,2,0,2,37,21,5.991971438357275,True,DIAMOND
23,3,11,0,3,0,1,2,2,0,2,17,37,-8.553374189651564,False,DIAMOND
24,11,0,3,0,1,0,4,0,1,1,38,10,14.000247083300831,True,DIAMOND
25,8,2,1,0,1,0,3,0,0,2,51,39,4.778684881446253,True,DIAMOND
26,9,2,1,0,1,0,4,0,1,0,48,14,13.866529199909039,True,DIAMOND
27,3,11,0,3,0,1,0,4,0,2,19,42,-7.577819640836097,False,DIAMOND
28,11,1,3,0,0,0,3,0,2,0,41,22,10.466364429435863,True,DIAMOND
29,11,2,5,0,2,0,3,1,2,0,38,28,2.2475234855733603,True,DIAMOND
30,3,8,0,2,0,2,2,3,0,2,21,35,-7.549107664238306,False,DIAMOND
31,6,5,1,0,1,0,2,2,1,1,36,25,8.671500496084036,True,DIAMOND
