,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,4,2,1,0,0,0,0,0,0,83,76,-1.966366673041506,False,PLATINUM
1,7,9,0,1,1,2,2,3,0,2,33,38,-4.231704759310048,False,PLATINUM
2,11,0,3,0,0,0,3,1,2,0,33,13,12.965795041823768,True,PLATINUM
3,5,3,1,0,0,0,1,2,1,1,30,13,12.886932854300355,True,PLATINUM
4,11,6,2,1,2,0,3,2,0,2,46,40,1.2609154548558408,True,PLATINUM
5,10,2,2,0,1,0,3,0,2,0,44,17,13.342839135836876,True,PLATINUM
6,1,4,0,2,0,0,0,0,0,0,80,99,0.8071813057722537,False,PLATINUM
7,4,1,1,0,0,0,0,0,0,0,79,74,1.02562479296774,True,PLATINUM
8,4,2,1,3,0,0,0,0,0,0,96,91,2.563527913132596,True,PLATINUM
9,1,4,0,3,0,0,0,0,0,0,54,57,0.5787341676020432,False,PLATINUM
10,1,4,0,2,0,0,0,0,0,0,73,68,0.7154315454660036,False,PLATINUM
