,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,4,2,2,0,0,0,0,0,0,57,62,-2.923989546736763,True,GOLD
1,4,4,2,1,0,0,0,0,0,0,76,88,0.6008029483803767,False,GOLD
2,4,1,1,0,0,0,0,0,0,0,67,59,1.7644961267513466,True,GOLD
3,9,6,2,0,1,1,4,1,0,1,39,27,5.268129768211601,True,GOLD
4,4,11,0,4,0,2,2,3,0,1,31,34,2.502534871553074,False,GOLD
5,4,1,1,0,0,0,0,0,0,0,64,64,1.9616507064248907,True,GOLD
6,2,4,1,3,0,0,0,0,0,0,85,87,1.9623426826677033,False,GOLD
7,4,1,1,0,0,0,0,0,0,0,56,69,-5.104816981954222,True,GOLD
8,10,0,1,0,1,0,3,1,1,1,41,22,7.532001517277905,True,GOLD
9,4,1,1,0,0,0,0,0,0,0,62,52,0.8655357198396274,True,GOLD
10,1,4,0,2,0,0,0,0,0,0,54,47,-1.2655517655073183,False,GOLD
11,1,4,0,2,0,0,0,0,0,0,74,84,0.16422171909299266,False,GOLD
12,3,4,1,2,0,0,0,0,0,0,83,69,2.559875991689026,False,GOLD
