,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,4,10,0,1,1,1,1,4,1,1,38,57,-5.320827144350197,False,CHALLENGER
1,7,8,2,1,0,3,2,4,1,1,38,46,-0.045180751565254695,False,CHALLENGER
2,11,4,3,0,1,0,4,0,1,1,39,23,5.146155733205525,True,CHALLENGER
3,10,4,1,0,0,1,4,1,2,0,39,18,10.62352259608388,True,CHALLENGER
4,1,10,0,3,1,0,0,4,0,2,37,66,-3.1376825726685738,False,CHALLENGER
5,1,7,0,1,0,1,0,3,1,1,8,40,-14.332739830557088,False,CHALLENGER
6,3,9,0,1,0,1,3,1,0,2,12,37,-12.730408323876567,False,CHALLENGER
7,5,6,0,1,0,1,2,0,2,0,15,26,-5.845249142995009,False,CHALLENGER
8,8,3,1,0,2,0,4,0,0,2,46,26,7.51203220302861,True,CHALLENGER
9,3,8,0,1,0,1,0,4,1,1,26,43,-6.985549889700202,False,CHALLENGER
10,10,2,2,0,1,0,2,2,2,0,39,24,6.356718205767407,True,CHALLENGER
11,8,8,1,3,1,1,4,1,1,1,36,32,2.935155500764097,True,CHALLENGER
12,10,3,1,0,1,0,4,0,0,2,24,17,6.581872671117701,True,CHALLENGER
13,6,2,1,0,1,0,3,0,1,1,39,22,7.745770402482094,True,CHALLENGER
14,2,9,0,1,0,1,1,3,1,1,12,26,-8.078095939670767,False,CHALLENGER
15,9,5,2,0,2,0,4,0,2,0,32,25,4.979819496954015,True,CHALLENGER
16,10,1,2,0,0,0,3,0,1,1,30,13,11.050128973586524,True,CHALLENGER
17,4,2,2,3,0,0,0,0,0,0,97,93,0.830966646546095,True,CHALLENGER
18,10,3,3,0,2,1,2,3,0,2,49,42,2.666359385458634,True,CHALLENGER
19,4,1,0,0,1,0,4,0,1,0,24,19,3.521151658389492,True,CHALLENGER
20,2,10,0,3,0,1,0,4,2,0,18,36,-7.77385530692424,False,CHALLENGER
21,3,10,0,3,0,2,2,2,0,2,27,33,-4.84544584745548,False,CHALLENGER
22,2,8,0,1,0,1,1,3,0,2,11,27,-13.779982847280941,False,CHALLENGER
23,11,6,3,1,2,0,3,3,1,1,52,32,7.266906542508366,True,CHALLENGER
24,3,10,0,2,1,0,2,2,1,1,29,14,9.947957298664342,False,CHALLENGER
25,8,5,1,1,1,0,4,0,1,1,29,21,5.046182336770194,True,CHALLENGER
26,8,2,2,0,1,0,4,0,1,1,31,27,1.9293156171951935,True,CHALLENGER
27,7,4,1,0,1,0,4,0,1,1,29,20,6.909879424573894,True,CHALLENGER
28,9,4,2,0,1,0,5,0,0,2,36,34,1.450880886367088,True,CHALLENGER
29,4,6,0,1,0,1,1,2,0,1,18,27,-8.884316919156788,False,CHALLENGER
