,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,2,4,1,1,0,0,0,0,0,0,48,58,-1.6387785668492683,False,GOLD
1,9,2,1,0,1,0,2,1,1,1,32,20,8.465021522911641,True,GOLD
2,7,9,1,1,0,1,0,3,1,1,23,34,-9.172793326025918,False,GOLD
3,5,11,0,2,1,1,3,2,1,1,33,47,-2.455995600797749,False,GOLD
4,8,6,1,2,1,1,1,4,1,1,36,34,-0.10678825274026593,True,GOLD
5,2,9,0,2,0,1,0,4,0,2,13,28,-12.138045039297737,False,GOLD
6,6,10,2,2,0,1,1,3,0,2,33,27,4.190007915938615,True,GOLD
7,1,10,0,4,0,2,2,4,1,0,28,44,-6.161957362400045,False,GOLD
8,11,3,4,0,2,0,3,0,2,0,34,34,1.1848163990659586,True,GOLD
9,10,2,1,0,0,0,2,1,0,1,36,20,5.222616178848817,True,GOLD
10,8,9,0,2,1,2,3,3,0,2,39,48,-4.346550856231261,False,GOLD
11,3,11,0,4,1,1,3,2,1,1,31,46,-4.177228201050291,False,GOLD
12,6,8,1,2,1,0,2,2,0,1,35,22,11.75831130465707,True,GOLD
13,8,0,1,0,0,0,3,0,1,0,37,23,11.821652746493314,True,GOLD
14,11,3,3,0,1,0,2,1,2,0,31,19,9.234967460162736,True,GOLD
15,8,2,1,0,1,0,4,0,1,1,31,18,10.659313740002759,True,GOLD
16,3,10,0,3,0,1,1,3,0,2,23,30,-6.054498929604435,False,GOLD
17,10,2,2,0,1,0,2,2,2,0,22,14,9.479362986071777,True,GOLD
18,7,3,1,0,1,0,4,0,1,0,44,26,10.97476076586441,True,GOLD
19,7,2,0,0,1,0,3,2,0,2,39,25,2.1648717990559874,True,GOLD
20,6,9,0,2,1,1,2,3,1,1,47,56,-6.634322617645012,False,GOLD
21,10,8,3,2,0,2,4,0,0,1,58,38,5.78651835931506,True,GOLD
22,8,11,1,3,2,0,2,4,0,2,25,39,-4.937729816106653,False,GOLD
23,5,2,0,0,1,0,2,1,0,2,27,13,11.111463668186627,True,GOLD
24,3,11,0,4,0,2,3,1,1,1,26,41,-6.704576571384386,False,GOLD
25,3,2,2,2,0,0,0,0,0,0,52,69,-1.7466083453689478,False,GOLD
26,2,10,0,4,0,1,1,3,0,2,38,37,0.363357955895097,False,GOLD
27,1,9,0,2,0,1,2,1,1,1,21,31,-3.2194661593187988,False,GOLD
28,8,4,1,0,0,0,3,0,1,1,36,9,15.605582687002677,True,GOLD
29,11,3,4,0,1,0,3,0,0,1,52,28,9.039040703869738,True,GOLD
30,6,2,1,0,0,0,2,1,1,0,31,17,7.22745094621834,True,GOLD
