,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,9,1,3,0,1,0,2,2,1,1,20,9,6.387558737663184,True,IRON
1,5,7,0,0,1,0,4,1,0,2,27,20,7.4407613538482735,True,IRON
2,2,11,0,3,0,1,1,2,0,2,16,32,-7.135140257106045,False,IRON
3,11,4,6,0,3,0,5,1,2,0,53,42,1.9632385275988824,True,IRON
4,4,11,0,3,0,1,2,2,1,1,23,27,-4.329593515163523,False,IRON
5,11,1,4,0,0,0,4,0,0,0,25,49,-2.5383271869087842,True,IRON
6,6,8,1,2,1,0,1,4,2,0,56,59,-0.8341298747299817,False,IRON
7,10,5,1,0,1,0,3,2,0,1,30,25,2.2913918152052517,True,IRON
8,9,2,4,0,2,0,3,0,2,0,68,37,15.717747812240216,True,IRON
9,10,3,3,0,2,0,2,2,0,2,48,42,1.4621581560671117,True,IRON
10,3,10,0,1,0,0,0,4,1,0,25,38,-3.96182612499495,False,IRON
11,9,7,2,0,1,0,4,0,0,1,30,18,10.689881853174548,True,IRON
12,1,11,0,3,0,1,0,4,0,0,20,50,-16.07331699754667,False,IRON
13,6,11,1,2,1,1,4,1,0,1,25,38,-7.156016205525795,False,IRON
14,8,4,1,0,1,0,2,1,0,1,42,34,6.325776474676964,True,IRON
15,5,11,0,3,0,1,2,3,1,1,30,39,-4.184259198894104,False,IRON
16,8,7,2,0,2,0,3,2,0,1,44,31,4.105789126768393,True,IRON
17,5,7,0,1,0,0,1,3,0,2,17,36,-7.759820990696642,False,IRON
18,1,11,0,3,0,2,2,3,1,0,37,51,-6.318636755603272,False,IRON
19,9,5,2,0,1,0,3,1,2,0,41,24,6.894807843443665,True,IRON
20,0,9,0,2,0,0,0,2,0,1,12,38,-14.004088423914066,False,IRON
21,10,1,3,0,2,0,3,1,2,0,42,21,7.9128075645175855,True,IRON
22,4,8,0,1,0,1,2,2,1,1,33,40,-4.282421597734263,False,IRON
23,3,10,0,2,0,2,3,2,0,2,35,48,-1.6673435348298327,False,IRON
24,6,10,1,2,0,1,2,3,2,0,27,50,-13.165240643952977,False,IRON
25,10,3,2,0,0,0,4,0,0,2,22,17,5.471682819972969,True,IRON
26,4,10,0,1,0,1,0,4,0,2,24,45,-7.2438879473193865,False,IRON
27,10,3,2,0,1,0,3,1,1,1,40,32,5.265535339508517,True,IRON
28,2,8,0,1,0,0,0,4,0,2,11,37,-15.498059112324903,False,IRON
29,6,8,1,3,0,3,3,4,1,1,45,54,-1.9910053661903078,False,IRON
30,7,3,1,0,0,0,2,1,1,0,21,19,3.3977922366490887,True,IRON
31,1,10,0,2,0,1,2,2,1,1,33,46,-5.189571971177152,False,IRON
32,7,8,1,2,0,1,3,2,2,0,18,35,-7.617198474684564,False,IRON
33,0,11,0,3,0,1,0,4,1,1,23,37,-13.282328599787874,False,IRON
