,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,10,4,1,0,1,1,3,0,2,0,41,32,5.20243090061782,True,MASTER
1,2,11,0,3,0,1,1,3,0,2,24,52,-12.646305054322013,False,MASTER
2,7,3,1,0,0,1,2,2,2,0,29,35,-7.147610632138182,True,MASTER
3,9,2,1,0,1,0,3,0,2,0,63,45,7.101645608240503,True,MASTER
4,11,3,4,0,2,0,3,2,1,1,39,32,1.3716032824854807,True,MASTER
5,6,7,0,1,0,2,2,2,1,1,28,40,-8.567822912128982,False,MASTER
6,10,3,2,0,1,1,4,1,1,1,46,33,7.546654122446178,True,MASTER
7,2,8,0,2,0,1,0,4,1,1,26,43,-4.010573856965365,False,MASTER
8,6,10,1,2,0,2,1,4,1,1,28,44,-5.243783561020884,False,MASTER
9,10,6,2,0,1,1,3,3,0,2,35,39,0.36034245126996467,True,MASTER
10,9,2,2,0,1,0,2,1,2,0,30,16,10.77838567644087,True,MASTER
11,2,8,0,1,0,1,1,2,1,1,25,32,-2.34532725373203,False,MASTER
12,6,7,1,2,1,1,0,3,2,0,44,40,4.477893719646303,False,MASTER
13,9,5,2,0,1,0,3,1,1,1,37,29,3.4669967566874647,True,MASTER
14,9,3,1,0,1,0,2,1,2,0,55,44,6.7909906234329185,True,MASTER
15,8,2,1,0,1,0,2,2,1,1,44,30,8.11996454288321,True,MASTER
16,1,11,0,2,0,1,0,4,0,2,17,39,-11.92604992341198,False,MASTER
17,5,10,1,2,0,1,2,1,2,0,31,43,-2.6411200778361774,False,MASTER
18,3,11,0,3,0,1,1,3,1,1,27,42,-3.6398101194407886,False,MASTER
19,5,8,1,1,0,1,3,0,2,0,25,29,-2.0379954883011493,False,MASTER
20,10,1,1,0,1,0,3,0,2,0,30,15,9.359205792085568,True,MASTER
21,4,9,0,1,0,2,2,3,0,2,35,50,-5.9196547166497595,False,MASTER
22,8,0,1,0,0,0,2,1,2,0,27,9,11.25611844391321,True,MASTER
23,11,3,4,0,2,0,2,2,1,1,42,31,4.27375296689933,True,MASTER
24,2,10,0,3,0,1,2,1,1,1,21,27,-4.233643351662707,False,MASTER
25,9,1,2,0,1,0,2,1,2,0,35,14,11.371608169058725,True,MASTER
26,3,9,0,1,0,1,0,3,1,1,12,32,-15.05248425013674,False,MASTER
27,2,11,0,3,1,0,1,3,1,1,17,28,-6.575627772396182,False,MASTER
28,4,8,0,1,0,2,3,3,2,0,21,30,-5.639604761034576,False,MASTER
29,3,2,0,0,1,0,1,2,1,0,34,20,10.176743187885812,True,MASTER
