,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
0,3,11,0,3,0,1,2,3,1,0,28,43,-6.008085994689388,False,IRON
1,9,0,1,0,0,0,2,1,2,0,42,18,9.925945448352852,True,IRON
2,10,4,2,0,0,0,3,0,1,0,35,12,11.93748663397437,True,IRON
3,7,10,1,3,1,2,2,4,0,1,33,33,-0.11465688678767805,False,IRON
4,8,10,1,2,1,0,1,2,0,1,44,50,-3.4695660956163508,False,IRON
5,9,3,2,0,0,0,3,0,1,0,31,26,7.884378623094221,True,IRON
6,3,11,0,3,1,0,0,4,0,1,29,66,-9.965175425272896,False,IRON
7,11,1,3,0,0,0,2,2,1,1,25,21,1.462901432448632,True,IRON
8,10,1,3,0,1,0,1,2,2,0,41,29,6.482610854931167,True,IRON
9,5,11,0,3,0,1,2,2,2,0,24,46,-8.956148632597134,False,IRON
10,2,9,0,2,0,1,1,2,0,2,23,53,-9.572437401786619,False,IRON
11,4,11,0,3,0,0,3,1,1,0,26,53,-17.062941034931754,False,IRON
12,11,4,6,0,0,1,4,3,1,1,56,70,-4.506491466895639,True,IRON
13,8,5,1,0,1,0,4,1,0,1,28,17,6.58717072761236,True,IRON
14,3,9,0,2,0,1,0,3,0,1,14,34,-11.86612968115799,False,IRON
15,7,11,1,2,0,2,3,3,0,1,33,48,-6.272633668002328,False,IRON
16,9,6,2,0,1,0,4,0,1,0,42,31,6.627368561012872,True,IRON
17,10,2,2,0,0,1,2,2,2,0,42,30,7.84921800040965,True,IRON
18,6,9,0,1,1,0,1,3,1,0,42,50,-4.835035801184141,False,IRON
19,6,10,0,2,0,2,0,4,2,0,33,38,-5.275896594431117,False,IRON
20,3,7,0,2,0,0,1,2,1,1,11,38,-15.734591885789818,False,IRON
21,0,10,0,2,0,1,1,2,0,2,17,21,0.2794885865911638,False,IRON
22,5,4,0,0,1,0,3,0,2,0,28,17,8.245412374445621,True,IRON
23,9,3,2,0,0,0,4,0,0,2,45,22,12.353809437025312,True,IRON
24,9,10,2,2,1,1,3,2,0,1,34,34,-0.005341420123045282,False,IRON
25,11,6,4,2,3,0,4,3,0,2,57,49,7.881504012893032,True,IRON
26,11,1,2,0,1,0,3,2,1,1,35,36,-1.7108521920310693,True,IRON
27,7,10,2,1,0,1,3,1,1,0,31,38,1.76304597686525,False,IRON
28,10,6,2,0,1,0,3,2,0,2,45,35,7.10663352498554,True,IRON
29,5,2,0,0,0,0,2,1,0,1,38,25,6.093345615567166,True,IRON
30,4,11,0,4,0,1,3,2,1,0,28,55,-9.906155857642709,False,IRON
31,10,5,3,0,1,1,5,2,0,2,53,54,-0.7260825487995888,True,IRON
32,11,5,3,0,0,0,2,1,1,1,47,27,9.08423435734099,True,IRON
33,11,3,6,0,1,0,2,3,2,0,51,29,2.278586600622077,True,IRON
34,11,4,4,1,1,1,4,1,1,1,52,53,0.4907280752313312,True,IRON
35,5,8,0,1,0,1,3,2,1,1,36,43,-0.7289199277054124,False,IRON
36,11,0,4,0,1,0,3,0,2,0,39,24,7.979511910976896,True,IRON
37,7,10,1,2,0,2,2,4,1,1,49,56,1.472382349972662,False,IRON
38,5,10,0,2,0,1,2,2,0,1,54,57,-3.7927473902803612,False,IRON
39,11,5,5,0,0,1,4,2,1,0,43,56,-9.725594202442885,True,IRON
40,0,9,0,1,0,0,0,3,0,1,13,52,-13.751134089172176,False,IRON
